German_Headword	Dutch_Headword	English_Headword	German_IPA	Dutch_IPA	English_IPA	German_Sound_Classes	Dutch_Sound_Classes	English_Sound_Classes	Cognateset_ID
Zapfen	tap	tap	ts a pf ə n	t ɑ p	t æ p	K V P V N	T V P	T V P	91
Salbe	zalf	salve	z a l b ə	z ɑ l f	s æ l v	S V R P V	S V R P	S V R W	92
Hund	hond	hound	h ʊ n t	h ɔ n t	h aʊ n d	H V N T	H V N T	H V N T	93
Fuchs	vos	fox	f ʊ k s	v ɔ s	f ɔ k s	P V K S	W V S	P V K S	94
denken	denken	think	d ɛ ŋ k ə n	d ɛ ŋ k ə	θ ɪ ŋ k	T V N K V N	T V N K V	T V N K	98
Dank	dank	thanks	d a ŋ k	d ɑ ŋ k	θ æ ŋ k s	T V N K	T V N K	T V N K S	328
streuen	strooien	strew	ʃ t r ɔy ə n	s t r oː j ə	s t r uː	S T R V V N	S T R V J V	S T R V	99
vier	vier	four	f iː r	v iː r	f ɔː r	P V R	W V R	P V R	100
Speer	speer	spear	ʃ p eː r	s p eː r	s p ɪə r	S P V R	S P V R	S P V R	101
Lauge	loog	lye	l au ɡ ə	l oː x	l aɪ	R V K V	R V K	R V	102
Honig	honing	honey	h oː n ɪ x	h oː n ɪ ŋ	h ʌ n ɪ	H V N V K	H V N V N	H V N V	103
bohren	boren	bore	b oː r ə n	b oː r ə	b ɔː r	P V R V N	P V R V	P V R	105
Hecke	heg	hedge	h ɛ k ə	h ɛ x	h ɛ ʤ	H V K V	H V K	H V K	106
Geburt	geboorte	birth	ɡ ə b uː r t	x ə b oː r t ə	b ɜː θ	K V P V R T	K V P V R T V	P V T	107
Hand	hand	hand	h a n t	h ɑ n t	h æ n d	H V N T	H V N T	H V N T	108
Traum	droom	dream	t r au m	d r oː m	d r iː m	T R V M	T R V M	T R V M	109
laden	laden	lade	l aː d ə n	l aː d ə	l eɪ d	R V T V N	R V T V	R V T	111
Tier	dier	deer	t iː r	d iː r	d ɪə r	T V R	T V R	T V R	112
Wal	wal	whale	v aː l	ʋ ɑ l	ʋ eɪ l	W V R	W V R	W V R	113
Span	spaan	spoon	ʃ p aː n	s p aː n	s p uː n	S P V N	S P V N	S P V N	114
tausend	duizend	thousand	t au z ə n d	d œy z ə n t	θ aʊ z ə n d	T V S V N T	T V S V N T	T V S V N T	117
Nabel	navel	navel	n aː b ə l	n aː v ə l	n eɪ v ə l	N V P V R	N V W V R	N V W V R	118
Hammer	hamer	hammer	h a m ə r	h aː m ə r	h æ m ə r	H V M V R	H V M V R	H V M V R	120
falten	vouw	fold	f a l t ə n	v ɑu ʋ	f əʊ l d	P V R T V N	W V W	P V R T	122
Stelze	stelt	stilt	ʃ t ɛ l ts ə	s t ɛ l t	s t ɪ l t	S T V R K V	S T V R T	S T V R T	123
Frost	vorst	frost	f r ɔ s t	v ɔ r s t	f r ɔ s t	P R V S T	W V R S T	P R V S T	125
stehlen	stelen	steal	ʃ t eː l ə n	s t eː l ə	s t iː l	S T V R V N	S T V R V	S T V R	126
Farn	varen	fern	f a r n	v aː r ə	f ɜː n	P V R N	W V R V	P V N	127
Netz	net	net	n ɛ ts	n ɛ t	n ɛ t	N V K	N V T	N V T	128
Bahre	baar	bier	b aː r ə	b aː r	b ɪə r	P V R V	P V R	P V R	129
Hilfe	hulp	help	h ɪ l f ə	h ʉ l p	h ɛ l p	H V R P V	H V R P	H V R P	131
Not	nood	need	n oː t	n oː t	n iː d	N V T	N V T	N V T	132
Hinde	hinde	hind	h ɪ n d ə	h ɪ n d ə	h aɪ n d	H V N T V	H V N T V	H V N T	133
Hasel	hazelaar	hazel	h aː z ə l	h aː z ə l aː r	h eɪ z ə l	H V S V R	H V S V R V R	H V S V R	134
Strang	streng	string	ʃ t r a ŋ	s t r ɛ ŋ	s t r ɪ ŋ	S T R V N	S T R V N	S T R V N	135
Raum	ruim	room	r au m	r œy m	r uː m	R V M	R V M	R V M	136
brechen	breken	break	b r ɛ x ə n	b r eː k ə	b r eɪ k	P R V K V N	P R V K V	P R V K	137
Bruch	broek	breeches	b r ʊ x	b r uː k	b r ʊ k	P R V K	P R V K	P R V K	415
Otter	adder	adder	ɔ t ə r	ɑ d ə r	æ d ə r	V T V R	V T V R	V T V R	139
Saum	zoom	seam	z au m	z oː m	s iː m	S V M	S V M	S V M	140
Bann	ban	ban	b a n	b ɑ n	b æ n	P V N	P V N	P V N	142
leuchten	lichten	light	l ɔy x t ə n	l ɪ x t ə	l aɪ t	R V K T V N	R V K T V	R V T	144
handeln	handelen	handle	h a n d ə l n	h ɑ n d ə l ə	h æ n d ə l	H V N T V R N	H V N T V R V	H V N T V R	145
Knopf	knoop	knob	k n ɔ pf	k n oː p	n ɔ b	K N V P	K N V P	N V P	147
bieten	bieden	bid	b iː t ə n	b iː d ə	b ɪ d	P V T V N	P V T V	P V T	149
Donner	donder	thunder	d ɔ n ə r	d ɔ n d ə r	θ ʌ n d ə r	T V N V R	T V N T V R	T V N T V R	150
klimmen	klimmen	climb	k l ɪ m ə n	k l ɪ m ə	k l aɪ m	K R V M V N	K R V M V	K R V M	152
Garn	garen	yarn	ɡ a r n	x aː r ə	j ɑː n	K V R N	K V R V	J V N	154
Tat	daad	deed	t aː t	d aː t	d iː d	T V T	T V T	T V T	159
binden	binden	bind	b ɪ n d ə n	b ɪ n d ə	b aɪ n d	P V N T V N	P V N T V	P V N T	160
Schulter	schouder	shoulder	ʃ ʊ l t ə r	s x ɑu d ə r	ʃ əʊ l d ə r	S V R T V R	S K V T V R	S V R T V R	162
ein	een	one	ai n	eː n	ʋ ʌ n	V N	V N	W V N	166
leben	leven	live	l eː b ə n	l eː v ə	l aɪ v	R V P V N	R V W V	R V W	170
Gift	gift	gift	ɡ ɪ f t	x ɪ f t	ɡ ɪ f t	K V P T	K V P T	K V P T	171
Horn	hoorn	horn	h ɔ r n	h oː r n	h ɔː n	H V R N	H V R N	H V N	172
Nabe	naaf	nave	n aː b ə	n aː f	n eɪ v	N V P V	N V P	N V W	173
Helm	helm	helm	h ɛ l m	h ɛ l m	h ɛ l m	H V R M	H V R M	H V R M	174
Wagen	wagen	wain	v aː ɡ ə n	ʋ aː ɣ ə	ʋ eɪ n	W V K V N	W V K V	W V N	175
beide	beide	both	b ai d ə	b ɛɪ d ə	b əʊ θ	P V T V	P V T V	P V T	176
Dieb	dief	thief	d iː p	d iː f	θ iː f	T V P	T V P	T V P	179
waten	waden	wade	v aː t ə n	ʋ aː d ə	ʋ eɪ d	W V T V N	W V T V	W V T	180
Wetter	weder	weather	v ɛ t ə r	ʋ eː d ə r	ʋ ɛ ð ə r	W V T V R	W V T V R	W V T V R	181
Laub	loof	leaf	l au p	l oː f	l iː f	R V P	R V P	R V P	182
Milch	melk	milk	m ɪ l x	m ɛ l k	m ɪ l k	M V R K	M V R K	M V R K	183
Sturm	storm	storm	ʃ t ʊ r m	s t ɔ r m	s t ɔː m	S T V R M	S T V R M	S T V M	184
Waffe	wapen	weapon	v a f ə	ʋ aː p ə	ʋ ɛ p ə n	W V P V	W V P V	W V P V N	185
Ochse	os	ox	ɔ k s ə	ɔ s	ɔ k s	V K S V	V S	V K S	188
wachsen	wassen	wax	v a k s ə n	ʋ ɑ s ə	ʋ æ k s	W V K S V N	W V S V	W V K S	191
Feld	veld	field	f ɛ l t	v ɛ l t	f iː l d	P V R T	W V R T	P V R T	192
Wald	woud	wold	v a l t	ʋ ɑu t	ʋ əʊ l d	W V R T	W V T	W V R T	193
Rauch	rook	reek	r au x	r oː k	r iː k	R V K	R V K	R V K	194
Ding	ding	thing	d ɪ ŋ	d ɪ ŋ	θ ɪ ŋ	T V N	T V N	T V N	196
Mut	moed	mood	m uː t	m uː t	m uː d	M V T	M V T	M V T	197
Schaufel	schoffel	shovel	ʃ au f ə l	s x ɔ f ə l	ʃ ʌ v ə l	S V P V R	S K V P V R	S V W V R	198
strecken	strekken	stretch	ʃ t r ɛ k ə n	s t r ɛ k ə	s t r ɛ ʧ	S T R V K V N	S T R V K V	S T R V K	201
Rost	roest	rust	r ɔ s t	r uː s t	r ʌ s t	R V S T	R V S T	R V S T	202
Trank	drank	drench	t r a ŋ k	d r ɑ ŋ k	d r ɛ n ʧ	T R V N K	T R V N K	T R V N K	204
Galle	gal	gall	ɡ a l ə	x ɑ l	ɡ ɔː l	K V R V	K V R	K V R	205
geben	geven	give	ɡ eː b ə n	x eː v ə	ɡ ɪ v	K V P V N	K V W V	K V W	206
Hag	haag	haw	h aː k	h aː x	h ɔː	H V K	H V K	H V	207
Monat	maand	month	m oː n aː t	m aː n t	m ʌ n θ	M V N V T	M V N T	M V N T	208
Teig	deeg	dough	t ai k	d eː x	d əʊ	T V K	T V K	T V	209
Knecht	knecht	knight	k n ɛ x t	k n ɛ x t	n aɪ t	K N V K T	K N V K T	N V T	211
Aal	aal	eel	aː l	aː l	iː l	V R	V R	V R	212
Volk	volk	folk	f ɔ l k	v ɔ l k	f əʊ k	P V R K	W V R K	P V K	213
Tag	dag	day	t aː k	d ɑ x	d eɪ	T V K	T V K	T V	214
Lauch	look	leek	l au x	l uː k	l iː k	R V K	R V K	R V K	215
Gras	gras	grass	ɡ r aː s	x r ɑ s	ɡ r ɑː s	K R V S	K R V S	K R V S	216
Brand	brand	brand	b r a n t	b r ɑ n t	b r æ n d	P R V N T	P R V N T	P R V N T	218
Heu	hooi	hay	h ɔy	h oː j	h eɪ	H V	H V J	H V	222
Boden	bodem	bottom	b oː d ə n	b oː d ə m	b ɔ t ə m	P V T V N	P V T V M	P V T V M	224
Joch	juk	yoke	j ɔ x	j ʉ k	j əʊ k	J V K	J V K	J V K	228
sparen	sparen	spare	ʃ p aː r ə n	s p aː r ə	s p ɛə r	S P V R V N	S P V R V	S P V R	229
Leib	lijf	life	l ai p	l ɛɪ f	l aɪ f	R V P	R V P	R V P	230
Wachs	was	wax	v a k s	ʋ ɑ s	ʋ æ k s	W V K S	W V S	W V K S	233
Blut	bloed	blood	b l uː t	b l uː t	b l ʌ d	P R V T	P R V T	P R V T	235
zehn	tien	ten	ts eː n	t iː n	t ɛ n	K V N	T V N	T V N	237
Jugend	jeugd	youth	j uː ɡ ə n t	j øː x t	j uː θ	J V K V N T	J V K T	J V T	239
Regenbogen	regenboog	rainbow	r eː ɡ ə n b oː ɡ ə n	r eː ɣ ə m b oː x	r eɪ n b əʊ	R V K V N P V K V N	R V K V M P V K	R V N P V	241
Kropf	krop	crop	k r ɔ pf	k r ɔ p	k r ɔ p	K R V P	K R V P	K R V P	242
Futter	voer	fodder	f ʊ t ə r	v uː r	f ɔ d ə r	P V T V R	W V R	P V T V R	244
Lunge	long	lung	l ʊ ŋ ə	l ɔ ŋ	l ʌ ŋ	R V N V	R V N	R V N	245
Dill	dille	dill	d/t ɪ l	d ɪ l ə	d ɪ l	T V R	T V R V	T V R	246
winden	winden	wind	v ɪ n d ə n	ʋ ɪ n d ə	ʋ ɪ n d	W V N T V N	W V N T V	W V N T	247
Lehm	leem	loam	l eː m	l eː m	l əʊ m	R V M	R V M	R V M	248
Knie	knie	knee	k n iː	k n iː	n iː	K N V	K N V	N V	249
Vater	vader	father	f aː t ə r	v aː d ə r	f ɑː ð ə r	P V T V R	W V T V R	P V T V R	250
lassen	laten	let	l a s ə n	l aː t ə	l ɛ t	R V S V N	R V T V	R V T	253
frieren	vriezen	freeze	f r iː r ə n	v r iː z ə	f r iː z	P R V R V N	W R V S V	P R V S	254
biegen	buigen	bow	b iː ɡ ə n	b œy ɣ ə	b əʊ	P V K V N	P V K V	P V	255
Buch	boek	book	b uː x	b uː k	b ʊ k	P V K	P V K	P V K	257
Segel	zeil	sail	z eː ɡ ə l	z ɛɪ l	s eɪ l	S V K V R	S V R	S V R	258
Leine	lijn	line	l ai n ə	l ɛɪ n	l aɪ n	R V N V	R V N	R V N	259
Dach	dak	thatch	d a x	d ɑ k	θ æ ʧ	T V K	T V K	T V K	261
Furche	voor	furrow	f ʊ r x ə	v oː r	f ʌ r əʊ	P V R K V	W V R	P V R V	262
Zeit	tijd	tide	ts ai t	t ɛɪ t	t aɪ d	K V T	T V T	T V T	263
Floh	vlo	flea	f l oː	v l oː	f l iː	P R V	W R V	P R V	267
Saft	sap	sap	z a f t	s ɑ p	s æ p	S V P T	S V P	S V P	268
Zecke	teek	tick	ts ɛ k ə	t eː k	t ɪ k	K V K V	T V K	T V K	269
schwimmen	zwemmen	swim	ʃ v ɪ m ə n	z ʋ ɛ m ə	s ʋ ɪ m	S W V M V N	S W V M V	S W V M	270
Malz	mout	malt	m a l ts	m ɑu t	m ɔː l t	M V R K	M V T	M V R T	271
kauen	kauwen	chew	k au ə n	k ɑu ʋ ə	ʧ uː	K V V N	K V W V	K V	272
ringen	wringen	wring	r ɪ ŋ ə n	ʋ r ɪ ŋ ə	r ɪ ŋ	R V N V N	W R V N V	R V N	273
waschen	wassen	wash	v a ʃ ə n	ʋ ɑ s ə	ʋ ɔ ʃ	W V S V N	W V S V	W V S	274
Hagel	hagel	hail	h aː ɡ ə l	h aː ɣ ə l	h eɪ l	H V K V R	H V K V R	H V R	275
Ofen	oven	oven	oː f ə n	oː v ə	ʌ v ə n	V P V N	V W V	V W V N	277
Jahr	jaar	year	j aː r	j aː r	j ɪə r	J V R	J V R	J V R	280
Fleisch	vlees	flesh	f l ai ʃ	v l eː s	f l ɛ ʃ	P R V S	W R V S	P R V S	282
Bauer	boer	bower	b au ə r	b uː r	b aʊ ə r	P V V R	P V R	P V V R	283
Bein	been	bone	b ai n	b eː n	b əʊ n	P V N	P V N	P V N	284
wachen	waken	wake	v a x ə n	ʋ aː k ə	ʋ eɪ k	W V K V N	W V K V	W V K	285
Wunder	wonder	wonder	v ʊ n d ə r	ʋ ɔ n d ə r	ʋ ʌ n d ə r	W V N T V R	W V N T V R	W V N T V R	288
Schwester	zuster	sister	ʃ v ɛ s t ə r	z ʉ s t ə r	s ɪ s t ə r	S W V S T V R	S V S T V R	S V S T V R	289
Schnee	sneeuw	snow	ʃ n eː	s n eː ʋ	s n əʊ	S N V	S N V W	S N V	290
lachen	lachen	laugh	l a x ə n	l ɑ x ə	l ɑː f	R V K V N	R V K V	R V P	291
Regen	regen	rain	r eː ɡ ə n	r eː ɣ ə	r eɪ n	R V K V N	R V K V	R V N	293
Himmel	hemel	heaven	h ɪ m ə l	h eː m ə l	h ɛ v ə n	H V M V R	H V M V R	H V W V N	294
Schwein	zwijn	swine	ʃ v ai n	z ʋ ɛɪ n	s ʋ aɪ n	S W V N	S W V N	S W V N	295
Teil	deel	deal	t ai l	d eː l	d iː l	T V R	T V R	T V R	297
Gold	goud	gold	ɡ ɔ l t	x ɑu t	ɡ əʊ l d	K V R T	K V T	K V R T	298
Kuh	koe	cow	k uː	k uː	k aʊ	K V	K V	K V	299
Sorge	zorg	sorrow	z ɔ r ɡ ə	z ɔ r x	s ɔ r əʊ	S V R K V	S V R K	S V R V	301
fliegen	vliegen	fly	f l iː ɡ ə n	v l iː ɣ ə	f l aɪ	P R V K V N	W R V K V	P R V	304
Scheide	schede	sheath	ʃ ai d ə	s x eː d ə	ʃ iː θ	S V T V	S K V T V	S V T	306
Widder	weder	wether	v ɪ d ə r	ʋ eː d ə r	ʋ ɛ ð ə r	W V T V R	W V T V R	W V T V R	307
Wurm	worm	worm	v ʊ r m	ʋ ɔ r m	ʋ ɜː m	W V R M	W V R M	W V M	309
Wasser	water	water	v a s ə r	ʋ aː t ə r	ʋ ɔː t ə r	W V S V R	W V T V R	W V T V R	310
brauchen	gebruiken	brook	b r au x ə n	x ə b r œy k ə	b r ʊ k	P R V K V N	K V P R V K V	P R V K	311
schlagen	slaan	slay	ʃ l aː ɡ ə n	s l aː n	s l eɪ	S R V K V N	S R V N	S R V	314
Locke	lok	lock	l ɔ k ə	l ɔ k	l ɔ k	R V K V	R V K	R V K	315
beginnen	beginnen	begin	b ə ɡ ɪ n ə n	b ə ɣ ɪ n ə	b ɪ ɡ ɪ n	P V K V N V N	P V K V N V	P V K V N	316
Brot	brood	bread	b r oː t	b r oː t	b r ɛ d	P R V T	P R V T	P R V T	317
sechs	zes	six	z ɛ k s	z ɛ s	s ɪ k s	S V K S	S V S	S V K S	318
Nacken	nek	neck	n a k ə n	n ɛ k	n ɛ k	N V K V N	N V K	N V K	319
Warze	wrat	wart	v a r ts ə	ʋ r ɑ t	ʋ ɔː t	W V R K V	W R V T	W V T	321
Bart	baard	beard	b aː r t	b aː r t	b ɪə d	P V R T	P V R T	P V T	322
Tal	dal	dale	t aː l	d ɑ l	d eɪ l	T V R	T V R	T V R	324
sitzen	zitten	sit	z ɪ ts ə n	z ɪ t ə	s ɪ t	S V K V N	S V T V	S V T	326
Zange	tang	tongs	ts a ŋ ə	t ɑ ŋ	t ɔ ŋ z	K V N V	T V N	T V N S	330
Salz	zout	salt	z a l ts	z ɑu t	s ɔː l t	S V R K	S V T	S V R T	333
fliehen	vlieden	flee	f l iː ə n	v l iː d ə	f l iː	P R V V N	W R V T V	P R V	337
Sparren	spar	spar	ʃ p a r ə n	s p ɑ r	s p ɑː r	S P V R V N	S P V R	S P V R	338
Hure	hoer	whore	h uː r ə	h uː r	h ɔː r	H V R V	H V R	H V R	339
treiben	drijven	drive	t r ai b ə n	d r ɛɪ v ə	d r aɪ v	T R V P V N	T R V W V	T R V W	341
Kitt	kit	cud	k ɪ t	k ɪ t	k ʌ d	K V T	K V T	K V T	342
halten	houden	hold	h a l t ə n	h ɑu d ə	h əʊ l d	H V R T V N	H V T V	H V R T	343
Stroh	stro	straw	ʃ t r oː	s t r oː	s t r ɔː	S T R V	S T R V	S T R V	344
Fisch	vis	fish	f ɪ ʃ	v ɪ s	f ɪ ʃ	P V S	W V S	P V S	346
Weide	weide	withy	v ai d ə	ʋ ɛɪ d ə	ʋ ɪ ð ɪ	W V T V	W V T V	W V T V	349
Wespe	wesp	wasp	v ɛ s p ə	ʋ ɛ s p	ʋ ɔ s p	W V S P V	W V S P	W V S P	351
Schwalbe	zwaluw	swallow	ʃ v a l b ə	z ʋ aː l yː ʋ	s ʋ ɔ l əʊ	S W V R P V	S W V R V W	S W V R V	352
schauen	schouwen	show	ʃ au ə n	s x ɑu ʋ ə	ʃ əʊ	S V V N	S K V W V	S V	353
Gans	gans	goose	ɡ a n s	x ɑ n s	ɡ uː s	K V N S	K V N S	K V S	355
beugen	buigen	bow	b ɔy ɡ ə n	b œy ɣ ə	b əʊ	P V K V N	P V K V	P V	356
Bord	bord	board	b ɔ r d/t	b ɔ r t	b ɔː d	P V R T	P V R T	P V T	357
Reif	rijp	rope	r ai f	r ɛɪ p	r əʊ p	R V P	R V P	R V P	358
Bad	bad	bath	b aː d	b ɑ t	b ɑː θ	P V T	P V T	P V T	360
fasten	vasten	fast	f a s t ə n	v ɑ s t ə	f ɑː s t	P V S T V N	W V S T V	P V S T	361
Westen	westen	west	v ɛ s t ə n	ʋ ɛ s t ə	ʋ ɛ s t	W V S T V N	W V S T V	W V S T	362
Seele	ziel	soul	z eː l ə	z iː l	s əʊ l	S V R V	S V R	S V R	363
Lust	lust	lust	l ʊ s t	l ʉ s t	l ʌ s t	R V S T	R V S T	R V S T	364
essen	eten	eat	ɛ s ə n	eː t ə	iː t	V S V N	V T V	V T	365
haben	hebben	have	h aː b ə n	h ɛ b ə	h æ v	H V P V N	H V P V	H V W	366
Haar	haar	hair	h aː r	h aː r	h ɛə r	H V R	H V R	H V R	368
dreschen	dorsen	thrash	d r ɛ ʃ ə n	d ɔ r s ə	θ r æ ʃ	T R V S V N	T V R S V	T R V S	370
Land	land	land	l a n t	l ɑ n t	l æ n d	R V N T	R V N T	R V N T	371
spannen	spannen	span	ʃ p a n ə n	s p ɑ n ə	s p æ n	S P V N V N	S P V N V	S P V N	372
Strom	stroom	stream	ʃ t r oː m	s t r oː m	s t r iː m	S T R V M	S T R V M	S T R V M	373
saufen	zuipen	sup	z au f ə n	z œy p ə	s ʌ p	S V P V N	S V P V	S V P	374
Schaf	schaap	sheep	ʃ aː f	s x aː p	ʃ iː p	S V P	S K V P	S V P	375
senden	zenden	send	z ɛ n d ə n	z ɛ n d ə	s ɛ n d	S V N T V N	S V N T V	S V N T	378
Ruck	ruk	rock	r ʊ k	r ʉ k	r ɔ k	R V K	R V K	R V K	379
Zaum	toom	team	ts au m	t oː m	t iː m	K V M	T V M	T V M	380
verlieren	verliezen	forlorn	f ɛ r l iː r ə n	v ə r l iː z ə	f ə l ɔː n	P V R R V R V N	W V R R V S V	P V R V N	381
stillen	stillen	still	ʃ t ɪ l ə n	s t ɪ l ə	s t ɪ l	S T V R V N	S T V R V	S T V R	382
scheinen	schijnen	shine	ʃ ai n ə n	s x ɛɪ n ə	ʃ aɪ n	S V N V N	S K V N V	S V N	383
Stab	staf	staff	ʃ t aː p	s t ɑ f	s t ɑː f	S T V P	S T V P	S T V P	384
Flut	vloed	flood	f l uː t	v l uː t	f l ʌ d	P R V T	W R V T	P R V T	386
Stein	steen	stone	ʃ t ai n	s t eː n	s t əʊ n	S T V N	S T V N	S T V N	387
Bogen	boog	bow	b oː ɡ ə n	b oː x	b əʊ	P V K V N	P V K	P V	388
scheren	scheren	shear	ʃ eː r ə n	s x eː r ə	ʃ ɪə r	S V R V N	S K V R V	S V R	390
backen	bakken	bake	b a k ə n	b ɑ k ə	b eɪ k	P V K V N	P V K V	P V K	391
Leiste	lijst	list	l ai s t ə	l ɛɪ s t	l ɪ s t	R V S T V	R V S T	R V S T	393
schieben	schuiven	shove	ʃ iː b ə n	s x œy v ə	ʃ ʌ v	S V P V N	S K V W V	S V W	394
helfen	helpen	help	h ɛ l f ə n	h ɛ l p ə	h ɛ l p	H V R P V N	H V R P V	H V R P	395
