German_Headword	Dutch_Headword	German_IPA	Dutch_IPA	German_Sound_Classes	Dutch_Sound_Classes	Cognateset_ID
leuchten	lichten	l ɔy x t ə n	l ɪ x t ə	R V K T V N	R V K T V	144
handeln	handelen	h a n d ə l n	h ɑ n d ə l ə	H V N T V R N	H V N T V R V	145
Knopf	knoop	k n ɔ pf	k n oː p	K N V P	K N V P	147
stehen	staan	ʃ t eː ə n	s t aː n	S T V V N	S T V N	148
bieten	bieden	b iː t ə n	b iː d ə	P V T V N	P V T V	149
Donner	donder	d ɔ n ə r	d ɔ n d ə r	T V N V R	T V N T V R	150
Schaum	schuim	ʃ au m	s x œy m	S V M	S K V M	151
klimmen	klimmen	k l ɪ m ə n	k l ɪ m ə	K R V M V N	K R V M V	152
Garn	garen	ɡ a r n	x aː r ə	K V R N	K V R V	154
hinken	hinken	h ɪ ŋ k ə n	h ɪ ŋ k ə	H V N K V N	H V N K V	158
Tat	daad	t aː t	d aː t	T V T	T V T	159
binden	binden	b ɪ n d ə n	b ɪ n d ə	P V N T V N	P V N T V	160
Deichsel	dissel	d ai k s ə l	d ɪ s ə l	T V K S V R	T V S V R	161
Schulter	schouder	ʃ ʊ l t ə r	s x ɑu d ə r	S V R T V R	S K V T V R	162
Qual	kwaal	kv aː l	kʋ aː l	K V R	K V R	165
ein	een	ai n	eː n	V N	V N	166
Rad	rad	r aː t	r ɑ t	R V T	R V T	168
Dorf	dorp	d ɔ r f	d ɔ r p	T V R P	T V R P	169
leben	leven	l eː b ə n	l eː v ə	R V P V N	R V W V	170
Gift	gift	ɡ ɪ f t	x ɪ f t	K V P T	K V P T	171
Horn	hoorn	h ɔ r n	h oː r n	H V R N	H V R N	172
Nabe	naaf	n aː b ə	n aː f	N V P V	N V P	173
Helm	helm	h ɛ l m	h ɛ l m	H V R M	H V R M	174
Wagen	wagen	v aː ɡ ə n	ʋ aː ɣ ə	W V K V N	W V K V	175
beide	beide	b ai d ə	b ɛɪ d ə	P V T V	P V T V	176
Melde	melde	m ɛ l d ə	m ɛ l d ə	M V R T V	M V R T V	177
Dieb	dief	d iː p	d iː f	T V P	T V P	179
waten	waden	v aː t ə n	ʋ aː d ə	W V T V N	W V T V	180
Wetter	weder	v ɛ t ə r	ʋ eː d ə r	W V T V R	W V T V R	181
Laub	loof	l au p	l oː f	R V P	R V P	182
Milch	melk	m ɪ l x	m ɛ l k	M V R K	M V R K	183
Sturm	storm	ʃ t ʊ r m	s t ɔ r m	S T V R M	S T V R M	184
Waffe	wapen	v a f ə	ʋ aː p ə	W V P V	W V P V	185
Lob	lof	l oː p	l ɔ f	R V P	R V P	187
Ochse	os	ɔ k s ə	ɔ s	V K S V	V S	188
Sohn	zoon	z oː n	z oː n	S V N	S V N	190
wachsen	wassen	v a k s ə n	ʋ ɑ s ə	W V K S V N	W V S V	191
Feld	veld	f ɛ l t	v ɛ l t	P V R T	W V R T	192
Wald	woud	v a l t	ʋ ɑu t	W V R T	W V T	193
Rauch	rook	r au x	r oː k	R V K	R V K	194
Auerochse	oeros	au ə r ɔ k s ə	uː r ɔ s	V V R V K S V	V R V S	195
Ding	ding	d ɪ ŋ	d ɪ ŋ	T V N	T V N	196
Mut	moed	m uː t	m uː t	M V T	M V T	197
Schaufel	schoffel	ʃ au f ə l	s x ɔ f ə l	S V P V R	S K V P V R	198
Rand	rand	r a n t	r ɑ n t	R V N T	R V N T	200
strecken	strekken	ʃ t r ɛ k ə n	s t r ɛ k ə	S T R V K V N	S T R V K V	201
Rost	roest	r ɔ s t	r uː s t	R V S T	R V S T	202
Stange	stang	ʃ t a ŋ ə	s t ɑ ŋ	S T V N V	S T V N	203
Trank	drank	t r a ŋ k	d r ɑ ŋ k	T R V N K	T R V N K	204
Galle	gal	ɡ a l ə	x ɑ l	K V R V	K V R	205
geben	geven	ɡ eː b ə n	x eː v ə	K V P V N	K V W V	206
Hag	haag	h aː k	h aː x	H V K	H V K	207
Monat	maand	m oː n aː t	m aː n t	M V N V T	M V N T	208
Teig	deeg	t ai k	d eː x	T V K	T V K	209
werden	worden	v eː r d ə n	ʋ ɔ r d ə	W V R T V N	W V R T V	210
Knecht	knecht	k n ɛ x t	k n ɛ x t	K N V K T	K N V K T	211
Aal	aal	aː l	aː l	V R	V R	212
Volk	volk	f ɔ l k	v ɔ l k	P V R K	W V R K	213
Tag	dag	t aː k	d ɑ x	T V K	T V K	214
Lauch	look	l au x	l uː k	R V K	R V K	215
Gras	gras	ɡ r aː s	x r ɑ s	K R V S	K R V S	216
Wirt	waard	v ɪ r t	ʋ aː r t	W V R T	W V R T	217
Brand	brand	b r a n t	b r ɑ n t	P R V N T	P R V N T	218
sein	zijn	z ai n	z ɛɪ n	S V N	S V N	219
Bach	beek	b a x	b eː k	P V K	P V K	220
weisen	wijzen	v ai z ə n	ʋ ɛɪ z ə	W V S V N	W V S V	221
Heu	hooi	h ɔy	h oː j	H V	H V J	222
Boden	bodem	b oː d ə n	b oː d ə m	P V T V N	P V T V M	224
Ort	oord	ɔ r t	oː r t	V R T	V R T	225
rufen	roepen	r uː f ə n	r uː p ə	R V P V N	R V P V	226
Stimme	stem	ʃ t ɪ m ə	s t ɛ m	S T V M V	S T V M	227
Joch	juk	j ɔ x	j ʉ k	J V K	J V K	228
sparen	sparen	ʃ p aː r ə n	s p aː r ə	S P V R V N	S P V R V	229
Leib	lijf	l ai p	l ɛɪ f	R V P	R V P	230
Reiher	reiger	r ai ə r	r ɛɪ ɣ ə r	R V V R	R V K V R	231
Stall	stal	ʃ t a l	s t ɑ l	S T V R	S T V R	232
Wachs	was	v a k s	ʋ ɑ s	W V K S	W V S	233
Heer	heer	h eː r	h eː r	H V R	H V R	234
Blut	bloed	b l uː t	b l uː t	P R V T	P R V T	235
zehn	tien	ts eː n	t iː n	K V N	T V N	237
werben	werven	v ɛ r b ə n	ʋ ɛ r v ə	W V R P V N	W V R W V	238
Jugend	jeugd	j uː ɡ ə n t	j øː x t	J V K V N T	J V K T	239
zwingen	dwingen	ts v ɪ ŋ ə n	d ʋ ɪ ŋ ə	K W V N V N	T W V N V	240
Regenbogen	regenboog	r eː ɡ ə n b oː ɡ ə n	r eː ɣ ə m b oː x	R V K V N P V K V N	R V K V M P V K	241
Kropf	krop	k r ɔ pf	k r ɔ p	K R V P	K R V P	242
triefen	druipen	t r iː f ə n	d r œy p ə	T R V P V N	T R V P V	243
Futter	voer	f ʊ t ə r	v uː r	P V T V R	W V R	244
Lunge	long	l ʊ ŋ ə	l ɔ ŋ	R V N V	R V N	245
Dill	dille	d/t ɪ l	d ɪ l ə	T V R	T V R V	246
winden	winden	v ɪ n d ə n	ʋ ɪ n d ə	W V N T V N	W V N T V	247
Lehm	leem	l eː m	l eː m	R V M	R V M	248
Knie	knie	k n iː	k n iː	K N V	K N V	249
Vater	vader	f aː t ə r	v aː d ə r	P V T V R	W V T V R	250
Magd	maagd	m aː g d	m aː x t	M V K T	M V K T	251
Rahm	room	r aː m	r oː m	R V M	R V M	252
lassen	laten	l a s ə n	l aː t ə	R V S V N	R V T V	253
frieren	vriezen	f r iː r ə n	v r iː z ə	P R V R V N	W R V S V	254
biegen	buigen	b iː ɡ ə n	b œy ɣ ə	P V K V N	P V K V	255
Blech	blik	b l ɛ x	b l ɪ k	P R V K	P R V K	256
Buch	boek	b uː x	b uː k	P V K	P V K	257
Segel	zeil	z eː ɡ ə l	z ɛɪ l	S V K V R	S V R	258
Leine	lijn	l ai n ə	l ɛɪ n	R V N V	R V N	259
Schatz	schat	ʃ a ts	s x ɑ t	S V K	S K V T	260
Dach	dak	d a x	d ɑ k	T V K	T V K	261
Furche	voor	f ʊ r x ə	v oː r	P V R K V	W V R	262
Zeit	tijd	ts ai t	t ɛɪ t	K V T	T V T	263
Hafer	haver	h aː f ə r	h aː v ə r	H V P V R	H V W V R	266
Floh	vlo	f l oː	v l oː	P R V	W R V	267
Saft	sap	z a f t	s ɑ p	S V P T	S V P	268
Zecke	teek	ts ɛ k ə	t eː k	K V K V	T V K	269
schwimmen	zwemmen	ʃ v ɪ m ə n	z ʋ ɛ m ə	S W V M V N	S W V M V	270
Malz	mout	m a l ts	m ɑu t	M V R K	M V T	271
kauen	kauwen	k au ə n	k ɑu ʋ ə	K V V N	K V W V	272
ringen	wringen	r ɪ ŋ ə n	ʋ r ɪ ŋ ə	R V N V N	W R V N V	273
waschen	wassen	v a ʃ ə n	ʋ ɑ s ə	W V S V N	W V S V	274
Hagel	hagel	h aː ɡ ə l	h aː ɣ ə l	H V K V R	H V K V R	275
dringen	dringen	d r ɪ ŋ ə n	d r ɪ ŋ ə	T R V N V N	T R V N V	276
Ofen	oven	oː f ə n	oː v ə	V P V N	V W V	277
Watt	wad	v a t	ʋ ɑ t	W V T	W V T	278
Neffe	neef	n ɛ f ə	n eː f	N V P V	N V P	279
Jahr	jaar	j aː r	j aː r	J V R	J V R	280
Speck	spek	ʃ p ɛ k	s p ɛ k	S P V K	S P V K	281
Fleisch	vlees	f l ai ʃ	v l eː s	P R V S	W R V S	282
Bauer	boer	b au ə r	b uː r	P V V R	P V R	283
Bein	been	b ai n	b eː n	P V N	P V N	284
wachen	waken	v a x ə n	ʋ aː k ə	W V K V N	W V K V	285
wehen	waaien	v eː ə n	ʋ aː j ə	W V V N	W V J V	286
Laster	laster	l a s t ə r	l ɑ s t ə r	R V S T V R	R V S T V R	287
Wunder	wonder	v ʊ n d ə r	ʋ ɔ n d ə r	W V N T V R	W V N T V R	288
Schwester	zuster	ʃ v ɛ s t ə r	z ʉ s t ə r	S W V S T V R	S V S T V R	289
Schnee	sneeuw	ʃ n eː	s n eː ʋ	S N V	S N V W	290
lachen	lachen	l a x ə n	l ɑ x ə	R V K V N	R V K V	291
Maul	muil	m au l	m œy l	M V R	M V R	292
Regen	regen	r eː ɡ ə n	r eː ɣ ə	R V K V N	R V K V	293
Himmel	hemel	h ɪ m ə l	h eː m ə l	H V M V R	H V M V R	294
Schwein	zwijn	ʃ v ai n	z ʋ ɛɪ n	S W V N	S W V N	295
Teil	deel	t ai l	d eː l	T V R	T V R	297
Gold	goud	ɡ ɔ l t	x ɑu t	K V R T	K V T	298
Kuh	koe	k uː	k uː	K V	K V	299
Sorge	zorg	z ɔ r ɡ ə	z ɔ r x	S V R K V	S V R K	301
drehen	draaien	d r eː ə n	d r aː j ə	T R V V N	T R V J V	302
fliegen	vliegen	f l iː ɡ ə n	v l iː ɣ ə	P R V K V N	W R V K V	304
Sitte	zede	z ɪ t ə	z eː d ə	S V T V	S V T V	305
Scheide	schede	ʃ ai d ə	s x eː d ə	S V T V	S K V T V	306
Widder	weder	v ɪ d ə r	ʋ eː d ə r	W V T V R	W V T V R	307
Nebel	nevel	n eː b ə l	n eː v ə l	N V P V R	N V W V R	308
Wurm	worm	v ʊ r m	ʋ ɔ r m	W V R M	W V R M	309
Wasser	water	v a s ə r	ʋ aː t ə r	W V S V R	W V T V R	310
brauchen	gebruiken	b r au x ə n	x ə b r œy k ə	P R V K V N	K V P R V K V	311
gelten	gelden	ɡ ɛ l t ə n	x ɛ l d ə	K V R T V N	K V R T V	312
holen	halen	h oː l ə n	h aː l ə	H V R V N	H V R V	313
schlagen	slaan	ʃ l aː ɡ ə n	s l aː n	S R V K V N	S R V N	314
Locke	lok	l ɔ k ə	l ɔ k	R V K V	R V K	315
beginnen	beginnen	b ə ɡ ɪ n ə n	b ə ɣ ɪ n ə	P V K V N V N	P V K V N V	316
Brot	brood	b r oː t	b r oː t	P R V T	P R V T	317
sechs	zes	z ɛ k s	z ɛ s	S V K S	S V S	318
Nacken	nek	n a k ə n	n ɛ k	N V K V N	N V K	319
stechen	steken	ʃ t ɛ x ə n	s t eː k ə	S T V K V N	S T V K V	320
Warze	wrat	v a r ts ə	ʋ r ɑ t	W V R K V	W R V T	321
Bart	baard	b aː r t	b aː r t	P V R T	P V R T	322
Barsch	baars	b aː r ʃ	b aː r s	P V R S	P V R S	323
Tal	dal	t aː l	d ɑ l	T V R	T V R	324
Zahl	taal	ts aː l	t aː l	K V R	T V R	325
sitzen	zitten	z ɪ ts ə n	z ɪ t ə	S V K V N	S V T V	326
Igel	egel	iː ɡ ə l	eː ɣ ə l	V K V R	V K V R	329
Zange	tang	ts a ŋ ə	t ɑ ŋ	K V N V	T V N	330
schneiden	snijden	ʃ n ai d ə n	s n ɛɪ d ə	S N V T V N	S N V T V	331
Felge	velg	f ɛ l ɡ ə	v ɛ l x	P V R K V	W V R K	332
Salz	zout	z a l ts	z ɑu t	S V R K	S V T	333
Scheibe	schijf	ʃ ai b ə	s x ɛɪ f	S V P V	S K V P	335
messen	meten	m ɛ s ə n	m eː t ə	M V S V N	M V T V	336
fliehen	vlieden	f l iː ə n	v l iː d ə	P R V V N	W R V T V	337
Sparren	spar	ʃ p a r ə n	s p ɑ r	S P V R V N	S P V R	338
Hure	hoer	h uː r ə	h uː r	H V R V	H V R	339
Tugend	deugd	t uː ɡ ə n t	d øː x t	T V K V N T	T V K T	340
treiben	drijven	t r ai b ə n	d r ɛɪ v ə	T R V P V N	T R V W V	341
Kitt	kit	k ɪ t	k ɪ t	K V T	K V T	342
halten	houden	h a l t ə n	h ɑu d ə	H V R T V N	H V T V	343
Stroh	stro	ʃ t r oː	s t r oː	S T R V	S T R V	344
Zucht	tucht	ts ʊ x t	t ʉ x t	K V K T	T V K T	345
Fisch	vis	f ɪ ʃ	v ɪ s	P V S	W V S	346
wehren	weren	v eː r ə n	ʋ eː r ə	W V R V N	W V R V	348
Weide	weide	v ai d ə	ʋ ɛɪ d ə	W V T V	W V T V	349
Diele	deel	d iː l ə	d eː l	T V R V	T V R	350
Wespe	wesp	v ɛ s p ə	ʋ ɛ s p	W V S P V	W V S P	351
Schwalbe	zwaluw	ʃ v a l b ə	z ʋ aː l yː ʋ	S W V R P V	S W V R V W	352
schauen	schouwen	ʃ au ə n	s x ɑu ʋ ə	S V V N	S K V W V	353
weihen	wijden	v ai ə n	ʋ ɛɪ d ə	W V V N	W V T V	354
Gans	gans	ɡ a n s	x ɑ n s	K V N S	K V N S	355
beugen	buigen	b ɔy ɡ ə n	b œy ɣ ə	P V K V N	P V K V	356
Bord	bord	b ɔ r d/t	b ɔ r t	P V R T	P V R T	357
Reif	rijp	r ai f	r ɛɪ p	R V P	R V P	358
taufen	dopen	t au f ə n	d oː p ə	T V P V N	T V P V	359
Bad	bad	b aː d	b ɑ t	P V T	P V T	360
fasten	vasten	f a s t ə n	v ɑ s t ə	P V S T V N	W V S T V	361
Westen	westen	v ɛ s t ə n	ʋ ɛ s t ə	W V S T V N	W V S T V	362
Seele	ziel	z eː l ə	z iː l	S V R V	S V R	363
Lust	lust	l ʊ s t	l ʉ s t	R V S T	R V S T	364
essen	eten	ɛ s ə n	eː t ə	V S V N	V T V	365
haben	hebben	h aː b ə n	h ɛ b ə	H V P V N	H V P V	366
Band	band	b a n d	b ɛ n t	P V N T	P V N T	367
Haar	haar	h aː r	h aː r	H V R	H V R	368
dreschen	dorsen	d r ɛ ʃ ə n	d ɔ r s ə	T R V S V N	T V R S V	370
Land	land	l a n t	l ɑ n t	R V N T	R V N T	371
spannen	spannen	ʃ p a n ə n	s p ɑ n ə	S P V N V N	S P V N V	372
Strom	stroom	ʃ t r oː m	s t r oː m	S T R V M	S T R V M	373
saufen	zuipen	z au f ə n	z œy p ə	S V P V N	S V P V	374
Schaf	schaap	ʃ aː f	s x aː p	S V P	S K V P	375
richten	richten	r ɪ x t ə n	r ɪ x t ə	R V K T V N	R V K T V	376
Wechsel	wissel	v ɛ k s ə l	ʋ ɪ s ə l	W V K S V R	W V S V R	377
senden	zenden	z ɛ n d ə n	z ɛ n d ə	S V N T V N	S V N T V	378
Ruck	ruk	r ʊ k	r ʉ k	R V K	R V K	379
Zaum	toom	ts au m	t oː m	K V M	T V M	380
verlieren	verliezen	f ɛ r l iː r ə n	v ə r l iː z ə	P V R R V R V N	W V R R V S V	381
stillen	stillen	ʃ t ɪ l ə n	s t ɪ l ə	S T V R V N	S T V R V	382
scheinen	schijnen	ʃ ai n ə n	s x ɛɪ n ə	S V N V N	S K V N V	383
Stab	staf	ʃ t aː p	s t ɑ f	S T V P	S T V P	384
Dirne	deern	d ɪ r n ə	d eː r n	T V R N V	T V R N	385
Flut	vloed	f l uː t	v l uː t	P R V T	W R V T	386
Stein	steen	ʃ t ai n	s t eː n	S T V N	S T V N	387
Bogen	boog	b oː ɡ ə n	b oː x	P V K V N	P V K	388
List	list	l ɪ s t	l ɪ s t	R V S T	R V S T	389
scheren	scheren	ʃ eː r ə n	s x eː r ə	S V R V N	S K V R V	390
backen	bakken	b a k ə n	b ɑ k ə	P V K V N	P V K V	391
Wange	wang	v a ŋ ə	ʋ ɑ ŋ	W V N V	W V N	392
Leiste	lijst	l ai s t ə	l ɛɪ s t	R V S T V	R V S T	393
schieben	schuiven	ʃ iː b ə n	s x œy v ə	S V P V N	S K V W V	394
helfen	helpen	h ɛ l f ə n	h ɛ l p ə	H V R P V N	H V R P V	395
bitten	bidden	b ɪ t ə n	b ɪ d ə	P V T V N	P V T V	397
machen	maken	m a x ə n	m aː k ə	M V K V N	M V K V	398
Sucht	zucht	z ʊ x t	z ʉ x t	S V K T	S V K T	399
Roggen	rogge	r ɔ ɡ ə n	r ɔ ɣ ə	R V K V N	R V K V	400
Held	held	h ɛ l t	h ɛ l t	H V R T	H V R T	401
riechen	ruiken	r iː x ə n	r œy k ə	R V K V N	R V K V	402
Lende	lende	l ɛ n d ə	l ɛ n d ə	R V N T V	R V N T V	403
Sprosse	sport	ʃ p r ɔ s ə	s p ɔ r t	S P R V S V	S P V R T	404
