ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	NOTE	COGID
2349	german	change	verändern	fɛr-ɛndərn	f ɛ r + ɛ n d ə r n		569
2350	french	change	changer	ʃɑ̃ʒe	ʃ ɑ̃ ʒ e		571
2351	dutch	change	veranderen	vər-ɑndərə	v ə r + ɑ n d ə r ə		569
2352	english	change	change	ʧeɪnʤ	tʃ eɪ n dʒ		-571
774	german	cheek	Wange	vaŋə	v a ŋ ə		1872
775	french	cheek	joue	ʒu	ʒ u		1874
776	dutch	cheek	wang	wɑŋ	w ɑ ŋ		1872
777	english	cheek	cheek	ʧiːk	tʃ iː k		1873
896	german	chest	Brust	brʊst	b r ʊ s t		1608
897	french	chest	poitrine	pwatʀin	p w a t ʀ i n		1610
898	dutch	chest	borst	bɔrst	b ɔ r s t		1608
899	english	chest	chest	ʧɛst	tʃ ɛ s t		1609
1173	german	chew	kauen	kauən	k au ə n		393
1174	french	chew	mastiquer	mastike	m a s t i k e		395
1175	dutch	chew	kauwen	kɑuwə	k ɑu w ə		393
1176	english	chew	chew	ʧuː	tʃ uː		394
553	german	chicken	Huhn	huːn	h uː n		2143
554	german	chicken	Hühnchen	hyːn-xən	h yː n + x ə n		2143
555	french	chicken	poulet	pulɛ	p u l ɛ		2145
556	dutch	chicken	kuiken	kœykə	k œy k ə		2144
557	english	chicken	chicken	ʧɪkɪn	tʃ ɪ k ɪ n		2144
301	german	child	Kind	kɪnt	k ɪ n t		111
302	french	child	enfant	ɑ̃fɑ̃	ɑ̃ f ɑ̃		113
303	dutch	child	kind	kɪnt	k ɪ n t		111
304	english	child	child	ʧaɪld	tʃ aɪ l d		112
1487	german	chimney	Schornstein	ʃɔrn-ʃtain	ʃ ɔ r n + ʃ t ai n		1245
1488	german	chimney	Kamin	kamiːn	k a m iː n		-1247
1489	french	chimney	cheminée	ʃəmine	ʃ ə m i n e		1247
1490	dutch	chimney	schoorsteen	sxoːr-steːn	s x oː r + s t eː n		1245
1491	english	chimney	chimney	ʧɪmnɪ	tʃ ɪ m n ɪ		-1246
1892	german	chisel	Meißel	maisəl	m ai s ə l		385
1893	french	chisel	ciseau	sizo	s i z o		386
1894	dutch	chisel	beitel	bɛɪtəl	b ɛɪ t ə l		387
1895	english	chisel	chisel	ʧɪzḷ	tʃ ɪ z l̩		-386
1733	german	chop, hew	zerhacken	ʦɛr-hakən	ts ɛ r + h a k ə n		2208
1734	french	chop, hew	tailler	taje	t a j e		2207
1735	french	chop, hew	couper	kupe	k u p e		2209
1736	dutch	chop, hew	hakken	hɑkə	h ɑ k ə		2208
1737	english	chop, hew	chop	ʧɔp	tʃ ɔ p		2206
853	german	claw	Klaue	klauə	k l au ə		901
854	german	claw	Kralle	kralə	k r a l ə		903
855	french	claw	griffe	ɡʀif	ɡ ʀ i f		902
856	dutch	claw	klauw	klɑuw	k l ɑu w		901
857	english	claw	claw	klɔː	k l ɔː		901
1867	german	clay	Ton	toːn	t oː n		1001
1868	german	clay	Lehm	leːm	l eː m		1004
1869	french	clay	argile	aʀʒil	a ʀ ʒ i l		1003
1870	dutch	clay	klei	klɛɪ	k l ɛɪ		1002
1871	english	clay	clay	kleɪ	k l eɪ		1002
33	german	cliff, precipice	Klippe	klɪpə	k l ɪ p ə		829
34	french	cliff, precipice	falaise	falɛz	f a l ɛ z		830
35	french	cliff, precipice	escarpement	ɛskaʀpəmɑ̃	ɛ s k a ʀ p ə m ɑ̃		832
36	dutch	cliff, precipice	klif	klɪf	k l ɪ f		829
37	english	cliff, precipice	cliff	klɪf	k l ɪ f		829
38	english	cliff, precipice	precipice	prɛsɪpɪs	p r ɛ s ɪ p ɪ s		831
1983	german	climb	klettern	klɛtərn	k l ɛ t ə r n		568
1984	french	climb	grimper	ɡʀɛ̃pe	ɡ ʀ ɛ̃ p e		567
1985	dutch	climb	klimmen	klɪmə	k l ɪ m ə		566
1986	english	climb	climb	klaɪm	k l aɪ m		566
1344	german	cloth	Stoff	ʃtɔf	ʃ t ɔ f		-2290
1345	french	cloth	étoffe	etɔf	e t ɔ f		2290
1346	french	cloth	tissu	tisy	t i s y		2292
1347	dutch	cloth	stof	stɔf	s t ɔ f		-2290
1348	english	cloth	cloth	klɔθ	k l ɔ θ		2291
1335	german	clothing, clothes	Kleidung	klaidʊŋ	k l ai d ʊ ŋ		1466
1336	french	clothing, clothes	habit	abi	a b i		1467
1337	french	clothing, clothes	vêtement	vɛtmɑ̃	v ɛ t m ɑ̃		1468
1338	dutch	clothing, clothes	kleding	kleːdɪŋ	k l eː d ɪ ŋ		1466
1339	english	clothing, clothes	clothes	kləʊðz	k l əʊ ð z		1466
227	german	cloud	Wolke	vɔlkə	v ɔ l k ə		762
228	french	cloud	nuage	nyaʒ	n y a ʒ		764
229	dutch	cloud	wolk	wɔlk	w ɔ l k		762
230	english	cloud	cloud	klaʊd	k l aʊ d		763
1058	german	cold (catarrh)	Erkältung	ɛr-kɛlt-ʊŋ	ɛ r + k ɛ l t + ʊ ŋ		2156
1059	french	cold (catarrh)	rhume	ʀym	ʀ y m		2157
1060	dutch	cold (catarrh)	verkoudheid	vər-kɑut-hɛɪt	v ə r + k ɑu t + h ɛɪ t		2156
1061	english	cold (catarrh)	cold	kəʊld	k əʊ l d		2156
1386	german	collar	Kragen	kraːɡən	k r aː ɡ ə n		586
1387	french	collar	col	kɔl	k ɔ l		587
1388	dutch	collar	kraag	kraːx	k r aː x		586
1389	english	collar	collar	kɔlər	k ɔ l ə r		-587
829	german	collarbone	Schlüsselbein	ʃlʏsəl-bain	ʃ l ʏ s ə l + b ai n		1154
830	french	collarbone	clavicule	klavikyl	k l a v i k y l		1156
831	dutch	collarbone	sleutelbeen	sløːtəl-beːn	s l øː t ə l + b eː n		1154
832	english	collarbone	collarbone	kɔlə-bəʊn	k ɔ l ə + b əʊ n		1155
2207	german	collect, gather	sammeln	zaməln	z a m ə l n		2219
2208	french	collect, gather	recueillir	ʀəkœjiʀ	ʀ ə k œ j i ʀ		2221
2209	french	collect, gather	rassembler	ʀasɑ̃ble	ʀ a s ɑ̃ b l e		2223
2210	dutch	collect, gather	verzamelen	vər-zaːmələ	v ə r + z aː m ə l ə		2219
2211	english	collect, gather	gather	ɡæðər	ɡ æ ð ə r		2220
2212	english	collect, gather	collect	kəlɛkt	k ə l ɛ k t		2222
1432	german	comb	Kamm	kam	k a m		2168
1433	french	comb	peigne	pɛɲ	p ɛ ɲ		2169
1434	dutch	comb	kam	kɑm	k ɑ m		2168
1435	english	comb	comb	kəʊm	k əʊ m		2168
1991	german	come back	zurückkommen	ʦuːrʏk-kɔmən	ts uː r ʏ k + k ɔ m ə n		1097
1992	french	come back	revenir	ʀə-vniʀ	ʀ ə + v n i ʀ		1099
1993	dutch	come back	terugkomen	tərʉx-koːmə	t ə r ʉ x + k oː m ə		1097
1994	english	come back	come back	kʌm-bæk	k ʌ m + b æ k		1097
1855	german	copper, bronze	Bronze	brɔ̃ːsə	b r ɔ̃ː s ə		-1637
1856	french	copper, bronze	bronze	bʀɔ̃z	b ʀ ɔ̃ z		1637
1857	dutch	copper, bronze	koper	koːpər	k oː p ə r		1638
1858	english	copper, bronze	copper	kɔpər	k ɔ p ə r		1638
1021	german	corpse	Leichnam	laix-naːm	l ai x + n aː m		311
1022	german	corpse	Leiche	laixə	l ai x ə		311
1023	french	corpse	cadavre	kadavʀ	k a d a v ʀ		313
1024	dutch	corpse	lijk	lɛɪk	l ɛɪ k		311
1025	english	corpse	corpse	kɔːps	k ɔː p s		312
954	german	cough	husten	hʊstən	h ʊ s t ə n		1553
955	french	cough	tousser	tuse	t u s e		1555
956	dutch	cough	hoesten	huːstə	h uː s t ə		1553
957	english	cough	cough	kɔf	k ɔ f		1554
2365	german	count	zählen	ʦɛːlən	ts ɛː l ə n		677
2366	french	count	compter	kɔ̃te	k ɔ̃ t e		678
2367	dutch	count	tellen	tɛlə	t ɛ l ə		677
2368	english	count	count	kaʊnt	k aʊ n t		-678
391	german	cousin	Vetter	fɛtər	f ɛ t ə r		2034
392	german	cousin	Kusine	kuːziːnə	k uː z iː n ə		-2035
393	french	cousin	cousin	kuzɛ̃	k u z ɛ̃		2035
394	dutch	cousin	neef	neːf	n eː f		2036
395	dutch	cousin	nicht	nɪxt	n ɪ x t		2037
396	english	cousin	cousin	kʌzṇ	k ʌ z n̩		-2035
488	german	cow	Kuh	kuː	k uː		2191
489	french	cow	vache	vaʃ	v a ʃ		2193
490	dutch	cow	koe	kuː	k uː		2192
491	english	cow	cow	kaʊ	k aʊ		2192
1959	german	creep, crawl	schleichen	ʃlaixən	ʃ l ai x ə n		140
1960	french	creep, crawl	ramper	ʀɑ̃pe	ʀ ɑ̃ p e		142
1961	dutch	creep, crawl	kruipen	krœypə	k r œy p ə		6052
1962	english	creep, crawl	crawl	krɔːl	k r ɔː l		141
1617	german	crop, harvest	Ernte	ɛrntə	ɛ r n t ə		1311
1618	french	crop, harvest	moisson	mwasɔ̃	m w a s ɔ̃		1313
1619	dutch	crop, harvest	oogst	oːxst	oː x s t		1314
