verwijde	nloorsp	commenta	lrsID	nedespel	hduispel	jaarnl	herknl	oorsprnl	nedecog	hduitcog	nedetran	hduitran	herkhdui	oorsphdui
 	 	meid	97	meisje	mädchen	1488	1	1	4	4	mEjS@	mE:tC@n	1	1
 	 	 	98	trein	zug	1839	7	2	2	3	trEjn	tsu:k	1	1
 	cultuur	 	99	cultuur	kultur	1544	6	2	1	1	kYltyr	kUltu:6	2	2
 	oorzaak	 	100	oorzaak	ursache	1401	8	1	1	1	o:rza:k	u6zax@	1	1
 	 	 	101	tent	zelt	1201	6	2	2	1	tEnt	tsElt	9	9
 	maand	 	102	maand	monat	1220	1	1	1	1	ma:nt	mo:nat	1	1
 	december	 	103	december	dezember	1201	2	2	1	1	desEmb@r	detsEmb6	2	2
 	 	 	104	brood	brot	1220	1	1	1	1	bro:t	bRo:t	1	1
 	vrede	 	105	vrede	frieden	1237	1	1	1	1	vre:d@	fri:dn	1	1
 	regering	 	106	regering	regierung	1357	6	2	1	1	r@Ge:rIN	Regi:RUN	6	2
 	 	 	107	telefoon	telefon	1887	6	3	1	1	tIl@fo:n	telefo:n	3	3
 	richting	 	108	richting	richtung	1786	1	1	1	1	rIxtIN	rICtUN	1	1
 	situatie	 	109	situatie	situation	1531	6	2	1	1	sitywa:tsi	zituatsjo:n	6	2
 	bevolking	volk	110	bevolking	bevölkerung	901	1	1	1	1	b@vOlkIN	b@f9lk@RUN	1	1
 	oog	 	111	oog	auge	901	1	1	1	1	o:x	awg@	1	1
 	interpretatie!	tolk	112	vertolking	übersetzung	1477	5	9	2	3	v@rtOlkIN	y:b6zEtsUN	1	1
 	 	 	113	meter	meter	1802	6	3	1	1	me:t@r	me:t6	6	3
 	 	 	114	kleur	farbe	1567	6	2	2	1	kl2:r	fa6b@	1	1
 	 	 	115	sneeuw	Schnee	1201	1	1	1	1	sne:w	Sne:	1	1
 	geest!	 	116	geest	geist	1253	1	1	2	2	Ge:st	gajst	1	1
 	kust	 	117	kust	küste	1436	2	2	1	1	kYst	kYst@	2	2
 	toegang	gang	118	toegang	zugang	1181	1	1	2	2	tuGaN	tsu:gaN	1	1
 	 	 	119	koor	chor	1265	6	3	1	1	ko:r	ko:6	2	3
 	overeenkomst	komen	120	overeenkomst	abkommen	901	1	1	1	1	o:v@re:nkOmst	apkOm@n	1	1
 	schip	 	121	schip	schiff	1200	1	1	1	1	sxIp	SIf	1	1
 	bescherming	bechermen	122	bescherming	schutz	901	9	9	2	3	b@sxErmIN	SUts	1	1
 	staat	 	123	staat	staat	1265	2	2	1	1	sta:t	Sta:t	2	2
 	lid	 	124	lid	mitglied	1260	1	1	2	3	lIt	mItgli:t	1	1
 	nummer	 	125	nummer	nummer	1350	6	2	1	1	nYm@r	nUm6	5	2
 	onderzoek	zoeken	126	onderzoek	untersuchung	901	1	1	2	3	Ond@rzuk	Unt6zu:xUN	1	1
 	 	 	127	klas	klasse	1591	6	2	1	1	klas	klas@	2	2
 	 	 	128	hemel	Himmel	901	1	1	1	1	he:m@l	hIml	1	1
 	dame	 	129	dame	dame	1401	6	2	1	1	da:m@	da:m@	6	2
 	positie	 	130	positie	position	1641	6	2	1	1	pozitsi	pozitsjo:n	2	2
 	project	 	131	project	projekt	1613	6	2	1	1	projEkt	pRojEkt	6	2
 	 	 	132	juli	juli	1050	2	2	1	1	jyli	ju:li:	2	2
 	alternatief	 	133	alternatief	alternativ	1544	6	2	1	1	alt@rnatif	altE6nati:f	6	2
 	model	 	134	model	modell	1599	6	2	1	1	modEl	modEl	2	2
 	behandeling	handelen	135	behandeling	behandlung	1236	1	1	1	1	b@hand@lIN	b@handlUN	1	1
 	 	 	136	kunst	kunst	1285	1	1	1	1	kYnst	kUnst	1	1
 	vertrouwen	trouw	137	vertrouwen	vertrauen	1291	1	1	2	2	v@rtraw@n	fE6tRaw@n	1	1
 	meerderheid	meerderheid	138	meerderheid	mehrheit	1410	1	1	2	2	me:rd@rhEjt	me:6hajt	1	1
 	 	 	139	gat	loch	1236	1	1	2	3	Gat	lOx	1	1
 	 	 	140	hond	hund	901	1	1	1	1	hOnt	hUnt	1	1
 	plaats	 	141	plaats	platz	1285	6	3	1	1	pla:ts	plats	2	3
 	politie!	 	142	politie	polizei	1798	6	3	1	1	politsi	politsaj	2	3
 	realiteit	 	143	realiteit	realität	1698	6	2	1	1	realitEjt	RealitE:t	2	2
 	 	 	144	café	lokal	1847	6	5	2	3	kafe:	loka:l	6	2
 	 	 	145	machine	maschine	1693	6	3	1	1	maSin@	maSi:n@	6	3
 	 	 	146	rand	rand	1285	1	1	1	1	rant	Rant	1	1
 	 	 	147	fles	flasche	1351	1	1	1	1	flEs	flaS@	1	1
 	vermogen!	 	148	vermogen	vermögen	1254	1	1	2	2	v@rmo:G@n	fE6m2:gn	1	1
 	concurrentie	concurreren	149	concurrentie	konkurrenz	1531	2	2	1	1	kOnkyrEnsi	kONkUREnts	2	2
 	chokolade	Spaans	150	chokolade	schokolade	1697	5	5	1	1	So:ko:la:d@	Sokola:d@	10	5
 	 	 	151	veer	Feder	901	1	1	1	1	ve:r	fe:d6	1	1
 	 	 	152	aarde	Erde	1220	1	1	1	1	a:rd@	e:6d@	1	1
 	 	 	153	team	team	1901	7	1	1	1	ti:m	ti:m	7	1
 	 	 	154	sla	salat	1599	6	2	2	1	sla:	zala:t	5	2
 	werk	 	155	werk	arbeit	901	1	1	2	1	v\Erk	a6bajt	1	1
 	 	 	156	kilometer	kilometer	1802	6	3	1	1	kilome:t@r	kilome:t6	6	3
 	 	 	157	schrik	schreck	1340	1	1	1	1	sxrIk	SREk	1	1
 	 	 	158	klok	uhr	1237	5	5	1	2	klOk	u:6	6	2
 	volksgezondheid	gezond	159	gezondheid	gesundheit	901	1	1	2	2	G@zOnthEjt	g@zUnthajt	1	1
 	aantal	 	160	aantal	anzahl	1634	1	1	1	1	a:ntal	antsa:l	1	1
 	partij	 	161	partij	partei	1266	6	2	1	1	partEj	pa6taj	6	2
 	 	 	162	kast	schrank	1364	8	1	2	3	kast	SRaNk	1	1
 	 	 	163	hoorn	horn	901	1	1	1	1	ho:rn	hO6n	1	1
 	 	 	164	kip	huhn	1588	1	1	2	3	kIp	hu:n	1	1
 	natuur!	 	165	natuur	natur	1201	6	2	1	1	natyr	natu:6	2	2
 	woord	 	166	woord	wort	901	1	1	1	1	v\o:rt	v\O6t	1	1
 	 	 	167	dinsdag	dienstag	1269	1	1	1	1	dInsdax	di:nsta:k	1	1
 	 	 	168	huid	Haut	1201	1	1	1	1	h9jt	hawt	1	1
 	 	 	169	dialect	dialekt	1723	6	3	1	1	dialEkt	dialEkt	2	3
 	profiteren!	 	170	nut	nutzen	1505	1	1	1	1	nYt	nUtsn	1	1
 	vergadering	komen	171	samenkomst	zusammenkunft	901	1	1	1	3	sa:m@nkOmst	tsuzam@nkUnft	1	1
 	structuur	 	172	structuur	struktur	1494	6	2	1	1	strYktur	StRUktu:6	2	2
 	 	 	173	blad	blatt	1250	1	1	1	1	blat	blat	1	1
 	maart	 	174	maart	märz	1253	2	2	1	1	ma:rt	mE6ts	2	2
 	beeld	 	175	beeld	bild	901	1	1	1	1	be:lt	bIlt	1	1
 	toezicht	zicht	176	toezicht	aufsicht	1410	1	1	2	3	tuzIxt	awfzICt	1	1
 	 	zeker	177	verzekering	versicherung	1201	8	2	1	1	v@rze:k@rIN	fE6zIC@RUN	2	2
 	 	 	178	dorp	dorf	1230	1	1	4	4	dOrp	dO6f	1	1
 	 	 	179	zout	Salz	1287	1	1	1	1	zawt	zalts	1	1
 	 	 	180	les	stunde	1201	2	2	1	2	lEs	StUnd@	1	1
 	overdracht!	dracht	181	overdracht!	übertragung	1265	1	1	2	3	o:v@rdraxt	y:b6tRa:gUN	1	1
 	respect	 	182	respect	respekt	1528	6	2	1	1	rEspEkt	RespEkt	6	2
 	 	zigeunertaal	183	gids	führer	1643	5	5	2	3	GIts	fy:R6	1	1
 	actie	 	184	actie	aktion	1390	2	2	1	1	aksi	aktsjo:n	2	2
 	fonds	 	185	fonds	fonds	1651	6	6	1	1	fOns	fO~:	6	6
 	 	 	186	paal	pfahl	1285	2	2	1	1	pa:l	pfa:l	2	2
 	 	 	187	vader	Vater	901	1	1	1	1	va:der	fa:t6	1	1
 	streven!	 	188	streven	streben	1276	1	1	1	1	stre:v@n	StRe:bn	1	1
 	 	 	189	zon	sonne	901	1	1	1	1	zOn	zOn@	1	1
 	mening	 	190	mening	meinung	1283	1	1	1	1	me:nIN	majnUN	1	1
 	leger	 	191	leger	heer	1263	1	1	2	1	le:G@r	he:6	1	1
 	 	 	192	examen	examen	1477	2	2	1	1	Eksa:m@n	Eksa:m@n	2	2
 	 	 	193	ster	Stern	1201	1	1	1	1	stEr	StE6n	1	1
 	jeugd!	 	194	jeugd	jugend	 	1	1	2	2	j2:xt	ju:gnt	1	1
 	 	 	195	wortel	Wurzel	1201	1	1	2	2	v\Ort@l	v\U6tsl	1	1
 	bos	 	196	bos	wald	1201	1	1	2	3	bOs	v\alt	1	1
 	 	 	197	ei	Ei	1230	1	1	1	1	Ej	aj	1	1
 	factor	 	198	factor	faktor	1467	2	2	1	1	faktOr	fakto:6	2	2
 	eenheid!	 	199	eenheid	einheit	1461	1	1	1	1	e:nhEjt	ajnhajt	1	1
 	vrijheid	vrij	200	vrijheid	freiheit	1237	1	1	1	1	vrEjhEjt	fRajhajt	1	1
 	minuut!	 	201	minuut	minute	1494	6	2	1	1	minyt	minu:t@	2	2
 	 	 	202	wijn	wein	901	2	9	1	1	v\Ejn	v\ajn	2	9
 	technologie	 	203	techniek	technik	1871	6	3	1	1	tExnik	tECnIk	2	3
 	vrouw	 	204	vrouw	frau	1201	1	1	2	2	vraw	fRaw	1	1
 	 	 	205	pastoor	pastor	1475	2	2	2	2	pasto:r	pasto:6	2	2
 	fraude	 	206	bedrog	betrug	1265	1	1	2	2	b@drOx	b@tRu:k	1	1
 	 	 	207	terras	terrasse	1691	6	2	1	1	tEras	tERas@	6	2
 	ongeluk	geluk	208	ongeluk	unglück	1201	1	1	1	1	OnG@lYk	UnglYk	1	1
 	 	 	209	kaas	käse	1201	2	2	2	2	ka:s	kE:z@	2	2
 	 	 	210	boer	bauer	1516	1	1	2	2	bur	baw6	1	1
 	vorm	 	211	vorm	form	1236	6	3	1	1	vOrm	fO6m	2	3
 	 	 	212	mond	Mund	901	1	1	1	1	mOnt	mUnt	1	1
 	 	 	213	e-mail	e-mail	1991	7	1	2	2	ime:l	i:mEjl	7	1
 	 	 	214	datum	datum	1297	2	2	1	1	da:t@m	da:tUm	2	2
 	leiding!	leiden	215	leiding	führung	901	1	1	1	1	lEjdIN	fy:RUN	1	1
 	druk	 	216	druk	druck	1351	1	1	1	1	drYk	dRUk	1	1
 	gebied	 	217	gebied	gebiet	1285	1	1	2	2	G@bIt	g@bi:t	1	1
 	dag	 	218	dag	tag	901	1	1	1	1	dax	ta:k	1	1
 	 	 	219	centimeter	zentimeter	1810	6	3	1	1	sEntime:t@r	tsEntime:t6	6	3
 	burger	wonen	220	inwoner	einwohner	901	1	1	2	2	Inv\o:n@r	ajnv\o:n6	1	1
 	 	 	221	kwart	viertel	1285	6	2	1	3	kv\art	fI6tl	1	1
 	kandidaat_land	 	222	kandidaat	kandidat	1762	6	2	1	1	kandida:t	kandida:t	2	2
 	beleid	 	223	beleid	politik	1291	1	1	2	1	b@lEjt	politi:k	6	3
 	punt	 	224	punt	punkt	1284	6	2	1	1	pYnt	pUNkt	2	2
 	 	 	225	krant	zeitung	1776	5	2	3	4	krant	tsajtUN	1	1
 	thema	 	226	thema	thema	1717	2	3	1	1	te:ma:	te:ma:	2	3
 	 	 	227	fabriek	fabrik	1764	8	2	1	1	fabrik	fabRi:k	6	2
 	orde	 	228	orde	ordnung	1350	6	2	1	1	Ord@	O6dnUN	2	2
 	 	 	229	buik	Bauch	901	1	1	2	2	b9jk	bawx	1	1
 	 	 	230	draad	draht	1236	1	1	1	1	dra:t	dRa:t	1	1
 	immigrant	 	231	immigrant	einwanderer	1865	6	2	1	2	imiGrant	ajnv\and@R6	1	1
 	wens	 	232	wens	wunsch	1285	1	1	1	1	v\Ens	v\UnS	1	1
 	versie	 	233	versie	version	1650	6	2	1	1	vErzi	v\E6zjo:n	6	2
 	 	 	234	buurt	nachbarschaft	1265	1	1	2	3	byrt	naxba:6Saft	1	1
 	 	 	235	pak	paket	1611	6	2	1	1	pak	pake:t	6	2
 	opleiding	leiden	236	opleiding	ausbildung	901	1	1	3	4	OplEjdIN	awsbIldUN	1	1
 	spel	spelen	237	spel	spiel	1236	1	1	1	1	spEl	Spi:l	1	1
 	 	 	238	berg	berg	901	1	1	1	1	bErx	bE6k	1	1
 	bedreiging	dreigen	239	bedreiging	drohung	1201	1	1	3	4	b@drEjGIN	dRo:UN	1	1
 	!	electrisch	240	elektriciteit	elektrizität	1786	2	3	1	1	elEktrisitEjt	e:lEktRitsitE:t	2	3
 	 	 	241	verlof	urlaub	1361	1	1	4	1	v@rlOf	u:6lawp	1	1
 	land	 	242	land	land	1200	1	1	1	1	lant	lant	1	1
 	lijn	 	243	lijn	linie	1477	2	2	1	1	lEjn	li:nj@	2	2
 	verdediging	verdedigen	244	verdediging	verteidigung	1591	1	1	2	2	v@rde:d@GIN	fE6tajdIgUN	1	1
 	bezoek	zoeken	245	bezoek	besuch	901	1	1	1	1	b@zuk	b@zu:x	1	1
 	 	 	246	vereniging	verein	1351	1	1	1	2	v@re:n@GIN	fE6?ajn	1	1
 	 	groen	247	groente	gemüse	1201	1	1	2	3	Grunt@	g@my:z@	1	1
 	 	 	248	lawaai	lärm	1803	9	9	2	1	lav\a:j	lE6m	6	6
 	 	 	249	zonde	sünde	901	1	1	1	1	zOnd@	zYnd@	1	1
 	aandacht	 	250	aandacht	aufmerksamkeit	1430	1	1	2	1	a:ndaxt	awfmE6kza:mkajt	1	1
 	 	 	251	sport	sport	1847	7	2	1	1	spOrt	SpO6t	7	2
 	zaak	 	252	zaak	sache	901	1	1	1	1	za:k	zax@	1	1
 	 	 	253	bestuur	vorstand	1432	1	1	2	3	b@styr	fo:6Stant	1	1
 	 	 	254	bed	bett	1201	1	1	2	2	bEt	bEt	1	1
 	 	 	255	vrucht	frucht	901	2	2	1	1	vrYxt	fRUxt	2	2
 	 	 	256	vak	fach	1808	1	1	1	1	vak	fax	1	1
 	regel	 	257	regel	regel	1236	2	2	1	1	re:G@l	Re:gl	2	2
 	 	 	258	baan	stelle	1739	1	1	2	3	ba:n	StEl@	1	1
 	politicus	politiek	259	politicus	politiker	1548	6	3	1	1	politikYs	poli:tIk6	6	3
 	schade	 	260	schade	schaden	1237	1	1	1	1	sxa:d@	Sa:dn	1	1
 	 	 	261	gordijn	gardine	1285	6	2	1	1	GOrdEjn	ga6di:n@	6	2
 	zee	 	262	zee	meer	901	1	1	2	3	ze:	me:6	1	1
 	garantie	 	263	garantie	garantie	1824	6	6	1	1	Garansi	gaRanti:	6	6
 	man	 	264	man	mann	901	1	1	1	1	man	man	1	1
 	 	 	265	concert	konzert	1710	6	2	1	1	kOnsErt	kOntsE6t	5	2
 	 	 	266	broer	bruder	901	1	1	1	1	brur	bru:d6	1	1
 	uitwisseling	wisselen	267	uitwisseling	austausch	1201	1	1	1	2	9jtv\Is@lIN	awstawS	1	1
 	aard	 	268	aard	art	1220	1	1	1	1	a:rt	a:6t	1	1
 	 	 	269	jas	jacke	1733	9	9	2	1	jas	jak@	6	6
 	 	 	270	dokter	arzt	1615	2	2	1	2	dOkt@r	a:6tst	2	2
 	keuze	 	271	keuze	wahl	1300	1	1	2	1	k2:z@	v\a:l	1	1
 	 	 	272	restaurant	restaurant	1862	6	2	1	1	rEstorant	rEstora~:	6	2
 	 	 	273	gevoel	gefühl	1450	1	1	3	3	G@vul	g@fy:l	1	1
 	 	 	274	stem	stimme	901	1	1	1	1	stEm	StIm@	1	1
 	verhoging	hoog	275	verhoging	erhöhung	901	1	1	2	3	v@rho:GIN	E6h2:UN	1	1
 	 	 	276	haar	haar	1236	1	1	1	1	ha:r	ha:6	1	1
 	stuk	 	277	stuk	stück	1201	1	1	1	1	stYk	StYk	1	1
 	pot	 	278	kruik	krug	1201	1	1	1	1	kr9jk	kRu:k	1	1
 	 	 	279	adres	adresse	1574	6	2	1	1	adrEs	adREs@	6	2
 	geld	 	280	geld	geld	1253	1	1	2	2	GElt	gElt	1	1
 	 	 	281	muur	mauer	901	2	2	1	1	myr	maw6	2	2
 	deel	 	282	deel	teil	901	1	1	1	1	de:l	tajl	1	1
 	consument	 	283	consument	konsument	1872	6	2	1	1	kOnzymEnt	kOnzumEnt	2	2
 	 	 	284	vinger	finger	1201	1	1	1	1	vIN@r	fIN6	1	1
 	 	 	285	sfeer	atmosphäre	1548	6	3	1	2	sfe:r	atmosfE:R@	3	3
 	tafel	 	286	tafel	tisch	1220	2	2	2	3	ta:f@l	tIS	2	3
 	 	 	287	kerk	kirche	1200	3	3	1	1	kErk	kI6C@	3	3
 	fase	 	288	fase	phase	1844	6	3	1	1	fa:z@	fa:z@	6	3
 	januari	 	289	januari	januar	1050	2	2	1	1	janya:ri	janUaR	2	2
 	 	 	290	fiets	fahrrad	1886	9	9	2	3	fits	fa:6Ra:t	1	1
 	 	 	291	plank	planke	1284	6	3	1	1	plaNk	plaNk@	2	3
 	 	 	292	gras	Gras	1201	1	1	1	1	Gras	gRa:s	1	1
 	ding	 	293	ding	ding	901	1	1	1	1	dIN	dIN	1	1
 	 	 	294	straat	straße	1210	2	2	2	2	stra:t	StRa:s@	2	2
 	grondgebied	 	295	territorium	territorium	1582	2	2	1	1	tEritoriYm	tERito:RiUm	2	2
 	 	 	296	zand	Sand	1220	1	1	1	1	zant	zant	1	1
 	detail!	 	297	detail	detail	1706	6	2	1	1	detaj	detaj	6	2
 	 	 	298	school	schule	1250	2	3	1	1	sxo:l	Su:l@	2	3
 	praktijk	 	299	praktijk	praktik	1201	6	3	1	1	praktEjk	pRaktIk	2	3
 	 	 	300	bord	teller	1285	1	1	2	1	bOrt	tEl6	6	6
 	 	 	301	zin	sinn	1201	1	1	2	2	zIn	zIn	1	1
 	toetreding	sluiten	302	aansluiting	anschluss	1201	1	1	2	2	a:nsl9jtIN	anSlUs	1	1
 	handel	 	303	handel	handel	1599	1	1	1	1	hand@l	handl	1	1
 	 	 	304	reis	reise	1201	1	1	1	1	rEjs	Rajz@	1	1
 	dossier	 	305	dossier	dossier	1856	6	2	2	2	dosje:	dOsje:	6	2
 	 	 	306	zondag	sonntag	1236	1	1	1	1	zOndax	zOnta:k	1	1
 	 	 	307	motor	motor	1892	2	2	1	1	mo:tOr	mo:to:6	2	2
 	dienst	 	308	dienst	dienst	1201	1	1	1	1	dinst	di:nst	1	1
