German_Headword	Dutch_Headword	English_Headword	German_IPA	Dutch_IPA	English_IPA	German_Sound_Classes	Dutch_Sound_Classes	English_Sound_Classes	Cognateset_ID
Gans	gans	goose	g a n s	x ɑ n s	g uː s	K V N S	K V N S	K V S	355
Garn	garen	yarn	g a r n	x aː r	j ɑː n	K V R N	K V R	J V N	154
Gast	gast	guest	g a s t	x ɑ s t	g ɛ s t	K V S T	K V S T	K V S T	443
geben	geven	give	g eː b ə	x eː v ə	g ɪ v	K V P V	K V W V	K V W	206
Gift	gift	gift	g ɪ f t	x ɪ f t	g ɪ f t	K V P T	K V P T	K V P T	171
beginnen	beginnen	begin	g ɪ n ə	ɣ ɪ n ə	g ɪ n	K V N V	K V N V	K V N	316
graben	graven	grave	g r aː b ə	x r aː v ə	g r ɑː v	K R V P V	K R V W V	K R V W	37
Gras	gras	grass	g r aː s	x r ɑ s	g r ɑː s	K R V S	K R V S	K R V S	216
Grund	grond	ground	g r ʊ n d	x r ɔ n t	g r aʊ n d	K R V N T	K R V N T	K R V N T	28
greifen	grijpen	gripe	g r ai f ə	x r ɛɪ p ə	g r aɪ p	K R V P V	K R V P V	K R V P	67
Gott	god	god	g ɔ t	x ɔ t	g ɔ d	K V T	K V T	K V T	514
Gold	goud	gold	g ɔ l d	x ɑu t	g əʊ l d	K V R T	K V T	K V R T	298
Jugend	jeugd	youth	j uː g d	j øː x t	j uː θ	J V K T	J V K T	J V T	239
Joch	juk	yoke	j ɔ x	j ʉ k	j əʊ k	J V K	J V K	J V K	228
Jahr	jaar	year	j aː r	j aː r	j ɪə r	J V R	J V R	J V R	280
Kalb	kalf	calf	k a l b	k ɑ l f	k ɑː f	K V R P	K V R P	K V P	54
Kamm	kam	comb	k a m	k ɑ m	k əʊ m	K V M	K V M	K V M	460
kauen	kauwen	chew	k au ə	k ɑu ə	tʃ uː	K V V	K V V	T V	272
klimmen	klimmen	climb	k l ɪ m ə	k l ɪ m ə	k l aɪ m	K R V M V	K R V M V	K R V M	152
Knecht	knecht	knight	k n ɛ x t	k n ɛ x t	n aɪ t	K N V K T	K N V K T	N V T	211
kneten	kneden	knead	k n eː t ə	k n eː d ə	n iː d	K N V T V	K N V T V	N V T	503
Knie	knie	knee	k n iː	k n iː	n iː	K N V	K N V	N V	249
Knopf	knoop	knob	k n ɔ pf	k n oː p	n ɔ b	K N V P	K N V P	N V P	147
Kraft	kracht	craft	k r a f t	k r ɑ x t	k r ɑː f t	K R V P T	K R V K T	K R V P T	413
Kropf	krop	crop	k r ɔ pf	k r ɔ p	k r ɔ p	K R V P	K R V P	K R V P	242
Korn	koren	corn	k ɔ r n	k oː r	k ɔː n	K V R N	K V R	K V N	533
Kitt	kit	cud	k ɪ t	k ɪ t	k ʌ d	K V T	K V T	K V T	342
Kuh	koe	cow	k uː	k uː	k aʊ	K V	K V	K V	299
Lappen	lap	lap	l a p	l ɑ p	l æ p	R V P	R V P	R V P	426
leiten	leiden	lead	l ai t ə	l ɛɪ d ə	l iː d	R V T V	R V T V	R V T	478
Lehm	leem	loam	l eː m	l eː m	l əʊ m	R V M	R V M	R V M	248
Leid	leed	loath	l ai d	l eː t	l əʊ θ	R V T	R V T	R V T	71
lachen	lachen	laugh	l a x ə	l ɑ x ə	l ɑː f	R V K V	R V K V	R V P	291
Land	land	land	l a n d	l ɑ n t	l æ n d	R V N T	R V N T	R V N T	371
Laub	loof	leaf	l au b	l oː f	l iː f	R V P	R V P	R V P	182
glauben	geloven	believe	l au b ə	l oː v ə	l iː v	R V P V	R V W V	R V W	73
Lauge	loog	lye	l au g	l oː x	l aɪ	R V K	R V K	R V	102
Lauch	look	leek	l au x	l uː k	l iː k	R V K	R V K	R V K	215
laden	laden	lade	l aː d ə	l aː d ə	l eɪ d	R V T V	R V T V	R V T	111
Linde	linde	linden	l ɪ n d	l ɪ n d	l ɪ n d	R V N T	R V N T	R V N T	473
verlieren	verliezen	forlorn	l iː r ə	l iː z ə	l ɔː	R V R V	R V S V	R V	381
leuchten	lichten	light	l ɔy x t ə	l ɪ x t ə	l aɪ t	R V K T V	R V K T V	R V T	144
Leber	lever	liver	l eː b ə r	l eː v ə r	l ɪ v ə r	R V P V R	R V W V R	R V W V R	59
leben	leven	live	l eː b ə	l eː v ə	l aɪ v	R V P V	R V W V	R V W	170
lecken	likken	lick	l ɛ k ə	l ɪ k ə	l ɪ k	R V K V	R V K V	R V K	438
Lid	lid	lid	l iː d	l ɪ t	l ɪ d	R V T	R V T	R V T	450
Locke	lok	lock	l ɔ k	l ɔ k	l ɔ k	R V K	R V K	R V K	315
Lunge	long	lung	l ʊ ŋ	l ɔ ŋ	l ʌ ŋ	R V N	R V N	R V N	245
Lust	lust	lust	l ʊ s t	l ʉ s t	l ʌ s t	R V S T	R V S T	R V S T	364
lassen	laten	let	l a s ə	l aː t ə	l ɛ t	R V S V	R V T V	R V T	253
Leib	lijf	life	l ai b	l ɛɪ f	l aɪ f	R V P	R V P	R V P	230
Leim	lijm	lime	l ai m	l ɛɪ m	l aɪ m	R V M	R V M	R V M	34
Leine	lijn	line	l ai n	l ɛɪ n	l aɪ n	R V N	R V N	R V N	259
Leiste	lijst	list	l ai s t	l ɛɪ s t	l ɪ s t	R V S T	R V S T	R V S T	393
Laus	luis	louse	l au s	l œy s	l aʊ s	R V S	R V S	R V S	500
meinen	menen	mean	m ai n ə	m eː n ə	m iː n	M V N V	M V N V	M V N	21
machen	maken	make	m a x ə	m aː k ə	m eɪ k	M V K V	M V K V	M V K	398
Malz	mout	malt	m a l ts	m ɑu t	m ɔː l t	M V R K	M V T	M V R T	271
Mark	mark	march	m a r k	m ɑ r k	m ɑː tʃ	M V R K	M V R K	M V T	12
Mann	man	man	m a n	m ɑ n	m æ n	M V N	M V N	M V N	529
Mahr	nachtmerrie	nightmare	m aː r	m ɛ r	m ɛə r	M V R	M V R	M V R	36
Mast	mast	mast	m a s t	m ɑ s t	m ɑː s t	M V S T	M V S T	M V S T	469
Macht	macht	might	m a x t	m ɑ x t	m aɪ t	M V K T	M V K T	M V T	432
Milch	melk	milk	m ɪ l x	m ɛ l k	m ɪ l k	M V R K	M V R K	M V R K	183
Mal	maal	meal	m aː l	m aː l	m iː l	M V R	M V R	M V R	66
Monat	maand	month	m oː n t	m aː n t	m ʌ n θ	M V N T	M V N T	M V N T	208
Mut	moed	mood	m uː t	m uː t	m uː d	M V T	M V T	M V T	197
Mutter	moeder	mother	m ʊ t ə r	m uː d ə r	m ʌ ð ə r	M V T V R	M V T V R	M V T V R	444
Nabel	navel	navel	n aː b ə l	n aː v ə l	n eɪ v ə l	N V P V R	N V W V R	N V W V R	118
Nabe	naaf	nave	n aː b	n aː f	n eɪ v	N V P	N V P	N V W	173
Nagel	nagel	nail	n aː g ə l	n aː ɣ ə l	n eɪ l	N V K V R	N V K V R	N V R	433
Name	naam	name	n aː m	n aː m	n eɪ m	N V M	N V M	N V M	23
Nase	neus	nose	n aː z	n øː s	n əʊ z	N V S	N V S	N V S	475
Netz	net	net	n ɛ ts	n ɛ t	n ɛ t	N V K	N V T	N V T	128
Not	nood	need	n oː t	n oː t	n iː d	N V T	N V T	N V T	132
Nacht	nacht	night	n a x t	n ɑ x t	n aɪ t	N V K T	N V K T	N V T	422
neun	negen	nine	n ɔy n	n eː	n aɪ n	N V N	N V	N V N	90
Nest	nest	nest	n ɛ s t	n ɛ s t	n ɛ s t	N V S T	N V S T	N V S T	88
Nadel	naald	needle	n aː d ə l	n aː l	n iː d ə l	N V T V R	N V R	N V T V R	35
Reif	rijp	rope	r ai f	r ɛɪ p	r əʊ p	R V P	R V P	R V P	358
Reh	ree	roe	r eː	r eː	r əʊ	R V	R V	R V	476
Rauch	rook	reek	r au x	r oː k	r iː k	R V K	R V K	R V K	194
Regenbogen	regenboog	rainbow	r eː g ə	r eː ɣ ə	r eɪ	R V K V	R V K V	R V	241
Regen	regen	rain	r eː g ə n	r eː ɣ ə	r eɪ n	R V K V N	R V K V	R V N	293
Roggen	rogge	rye	r ɔ g ə	r ɔ ɣ ə	r aɪ	R V K V	R V K V	R V	400
Ruck	ruk	rock	r ʊ k	r ʉ k	r ɔ k	R V K	R V K	R V K	379
Rost	roest	rust	r ɔ s t	r uː s t	r ʌ s t	R V S T	R V S T	R V S T	202
raten	raden	read	r aː t ə n	r aː d ɛ n	r iː d	R V T V N	R V T V N	R V T	452
reiten	rijden	ride	r ai t ə	r ɛɪ d ə	r aɪ d	R V T V	R V T V	R V T	47
Ruder	roer	rudder	r uː d ə r	r uː r	r ʌ d ə r	R V T V R	R V R	R V T V R	458
Raum	ruim	room	r au m	r œy m	r uː m	R V M	R V M	R V M	136
See	zee	sea	z eː	z eː	s iː	S V	S V	S V	408
Seele	ziel	soul	z eː l	z iː l	s əʊ l	S V R	S V R	S V R	363
Sache	zaak	sake	z a x	z aː k	s eɪ k	S V K	S V K	S V K	38
Salbe	zalf	salve	z a l b	z ɑ l f	s æ l v	S V R P	S V R P	S V R W	92
Salz	zout	salt	z a l ts	z ɑu t	s ɔː l t	S V R K	S V T	S V R T	333
senden	zenden	send	z ɛ n d ə	z ɛ n d ə	s ɛ n d	S V N T V	S V N T V	S V N T	378
sengen	zengen	singe	z ɛ ŋ ə	z ɛ ŋ ə	s ɪ n	S V N V	S V N V	S V N	441
Saft	sap	sap	z a f	s ɑ p	s æ p	S V P	S V P	S V P	268
setzen	zetten	set	z ɛ ts ə	z ɛ t ə	s ɛ t	S V K V	S V T V	S V T	498
Saum	zoom	seam	z au m	z oː m	s iː m	S V M	S V M	S V M	140
sieben	zeven	seven	z iː b ə n	z eː v ə	s ɛ v ə n	S V P V N	S V W V	S V W V N	50
Segel	zeil	sail	z eː l	z ɛɪ l	s eɪ l	S V R	S V R	S V R	258
singen	zingen	sing	z ɪ ŋ ə	z ɪ ŋ ə	s ɪ ŋ	S V N V	S V N V	S V N	430
sitzen	zitten	sit	z ɪ ts ə	z ɪ t ə	s ɪ t	S V K V	S V T V	S V T	326
sechs	zes	six	z ɛ k s	z ɛ s	s ɪ k s	S V K S	S V S	S V K S	318
Sieb	zeef	sieve	z iː b	z eː f	s ɪ v	S V P	S V P	S V W	479
Schaft	schacht	shaft	ʃ a f t	s ɑ x t	ʃ ɑː f t	S V P T	S V K T	S V P T	510
Scheide	schede	sheath	ʃ ai d ə	s eː d ə	ʃ iː θ	S V T V	S V T V	S V T	306
schauen	schouwen	show	ʃ au ə	s ɑu ə	ʃ əʊ	S V V	S V V	S V	353
Schild	schild	shield	ʃ ɪ l t	s ɪ l t	ʃ iː l d	S V R T	S V R T	S V R T	86
scheren	scheren	shear	ʃ eː r ə	s eː r ə	ʃ ɪə r	S V R V	S V R V	S V R	390
schieben	schuiven	shove	ʃ iː b ə	s œy v ə	ʃ ʌ v	S V P V	S V W V	S V W	394
Schulter	schouder	shoulder	ʃ ʊ l t ə r	s ɑu d ə r	ʃ əʊ l d ə r	S V R T V R	S V T V R	S V R T V R	162
Schaf	schaap	sheep	ʃ aː f	s aː p	ʃ iː p	S V P	S V P	S V P	375
scheinen	schijnen	shine	ʃ ai n ə	s ɛɪ n ə	ʃ aɪ n	S V N V	S V N V	S V N	383
Schaufel	schoffel	shovel	ʃ au f ə l	s ɔ f ə l	ʃ ʌ v ə l	S V P V R	S V P V R	S V W V R	198
schlagen	slaan	slay	ʃ l aː n	s l aː n	s l eɪ	S R V N	S R V N	S R V	314
schlafen	slapen	sleep	ʃ l aː f ə	s l aː p ə	s l iː p	S R V P V	S R V P V	S R V P	457
Schleim	slijm	slime	ʃ l ai m	s l ɛɪ m	s l aɪ m	S R V M	S R V M	S R V M	524
schmieren	smeren	smear	ʃ m iː r ə	s m eː r ə	s m ɪə r	S M V R V	S M V R V	S M V R	497
Schnee	sneeuw	snow	ʃ n eː	s n eː	s n əʊ	S N V	S N V	S N V	290
spannen	spannen	span	ʃ p a n ə	s p ɑ n ə	s p æ n	S P V N V	S P V N V	S P V N	372
Sparren	spar	spar	ʃ p a r	s p ɑ r	s p ɑː r	S P V R	S P V R	S P V R	338
sparen	sparen	spare	ʃ p aː r ə	s p aː r ə	s p ɛə r	S P V R V	S P V R V	S P V R	229
spinnen	spinnen	spin	ʃ p ɪ n ə	s p ɪ n ə	s p ɪ n	S P V N V	S P V N V	S P V N	84
Spindel	spil	spindle	ʃ p ɪ n d ə l	s p ɪ l	s p ɪ n d ə l	S P V N T V R	S P V R	S P V N T V R	51
Speer	speer	spear	ʃ p eː r	s p eː r	s p ɪə r	S P V R	S P V R	S P V R	101
spreiten	spreiden	spread	ʃ p r ai t ə	s p r ɛɪ d ə	s p r ɛ d	S P R V T V	S P R V T V	S P R V T	412
Sporn	spoor	spur	ʃ p ɔ r	s p oː r	s p ɜː r	S P V R	S P V R	S P V R	20
Span	spaan	spoon	ʃ p aː n	s p aː n	s p uː n	S P V N	S P V N	S P V N	114
Stab	staf	staff	ʃ t aː b	s t ɑ f	s t ɑː f	S T V P	S T V P	S T V P	384
Stein	steen	stone	ʃ t ai n	s t eː n	s t əʊ n	S T V N	S T V N	S T V N	387
Stamm	stam	stem	ʃ t a m	s t ɑ m	s t ɛ m	S T V M	S T V M	S T V M	446
stehlen	stelen	steal	ʃ t eː l ə	s t eː l ə	s t iː l	S T V R V	S T V R V	S T V R	126
stillen	stillen	still	ʃ t ɪ l ə	s t ɪ l ə	s t ɪ l	S T V R V	S T V R V	S T V R	382
Stelze	stelt	stilt	ʃ t ɛ l ts	s t ɛ l t	s t ɪ l t	S T V R K	S T V R T	S T V R T	123
sterben	sterven	starve	ʃ t ɛ r b ə	s t ɛ r v ə	s t ɑː v	S T V R P V	S T V R W V	S T V W	89
Sterz	staart	start	ʃ t ɛ r ts	s t aː r t	s t ɑː t	S T V R K	S T V R T	S T V T	8
strecken	strekken	stretch	ʃ t r ɛ k ə	s t r ɛ k ə	s t r ɛ tʃ	S T R V K V	S T R V K V	S T R V T	201
Strang	streng	string	ʃ t r a ŋ	s t r ɛ ŋ	s t r ɪ ŋ	S T R V N	S T R V N	S T R V N	135
Strom	stroom	stream	ʃ t r oː m	s t r oː m	s t r iː m	S T R V M	S T R V M	S T R V M	373
Stroh	stro	straw	ʃ t r oː	s t r oː	s t r ɔː	S T R V	S T R V	S T R V	344
streuen	strooien	strew	ʃ t r ɔy ə	s t r oː ə	s t r uː	S T R V V	S T R V V	S T R V	99
Stock	stok	stock	ʃ t ɔ k	s t ɔ k	s t ɔ k	S T V K	S T V K	S T V K	521
Sturm	storm	storm	ʃ t ʊ r m	s t ɔ r m	s t ɔː m	S T V R M	S T V R M	S T V M	184
Stuhl	stoel	stool	ʃ t uː l	s t uː l	s t uː l	S T V R	S T V R	S T V R	519
Sommer	zomer	summer	z ɔ m ə r	z oː m ə r	s ʌ m ə r	S V M V R	S V M V R	S V M V R	513
sondern	afzonderen	sunder	z ɔ n d ə r	s ɔ n d ə r	s ʌ n d ə r	S V N T V R	S V N T V R	S V N T V R	454
Sonne	zon	sun	z ɔ n	z ɔ n	s ʌ n	S V N	S V N	S V N	481
Sorge	zorg	sorrow	z ɔ r g	z ɔ r x	s ɔ r əʊ	S V R K	S V R K	S V R V	301
Schwalbe	zwaluw	swallow	ʃ v a l	z ʋ aː l	s ʋ ɔ l	S W V R	S W V R	S W V R	352
schwimmen	zwemmen	swim	ʃ v ɪ m ə	z ʋ ɛ m ə	s ʋ ɪ m	S W V M V	S W V M V	S W V M	270
Schwert	zwaard	sword	ʃ v eː r t	z ʋ aː r t	s ɔː d	S W V R T	S W V R T	S V T	58
Schwester	zuster	sister	ʃ ɛ s t ə r	z ʉ s t ə r	s ɪ s t ə r	S V S T V R	S V S T V R	S V S T V R	289
Schwein	zwijn	swine	ʃ v ai n	z ʋ ɛɪ n	s ʋ aɪ n	S W V N	S W V N	S W V N	295
suchen	zoeken	seek	z uː x ə	z uː k ə	s iː k	S V K V	S V K V	S V K	30
saufen	zuipen	sup	z au f ə	z œy p ə	s ʌ p	S V P V	S V P V	S V P	374
Zeichen	teken	token	ts ai x ə n	t eː k ə	t əʊ k ə n	K V K V N	T V K V	T V K V N	436
Zehe	teen	toe	ts eː	t eː	t əʊ	K V	T V	T V	472
Zange	tang	tongs	ts a ŋ	t ɑ ŋ	t ɔ ŋ	K V N	T V N	T V N	330
Zapfen	tap	tap	ts a pf	t ɑ p	t æ p	K V P	T V P	T V P	91
Zaum	toom	team	ts au m	t oː m	t iː m	K V M	T V M	T V M	380
zehn	tien	ten	ts eː n	t iː n	t ɛ n	K V N	T V N	T V N	237
Zecke	teek	tick	ts ɛ k	t eː k	t ɪ k	K V K	T V K	T V K	269
treten	treden	tread	t r eː t ə	t r eː d ə	t r ɛ d	T R V T V	T R V T V	T R V T	461
Zunge	tong	tongue	ts ʊ ŋ	t ɔ ŋ	t ʌ ŋ	K V N	T V N	T V N	459
Zeit	tijd	tide	ts ai t	t ɛɪ t	t aɪ d	K V T	T V T	T V T	263
Zaun	tuin	town	ts au n	t œy n	t aʊ n	K V N	T V N	T V N	477
Ofen	oven	oven	oː f ə n	oː v ə	ʌ v ə n	V P V N	V W V	V W V N	277
Otter	adder	adder	ɔ t ə r	ɑ d ə r	æ d ə r	V T V R	V T V R	V T V R	139
Ochse	os	ox	ɔ k s	ɔ s	ɔ k s	V K S	V S	V K S	188
Wespe	wesp	wasp	v ɛ s p	ʋ ɛ s p	ʋ ɔ s p	W V S P	W V S P	W V S P	351
waten	waden	wade	v aː t ə	ʋ aː d ə	ʋ eɪ d	W V T V	W V T V	W V T	180
Wagen	wagen	wain	v aː g ə n	ʋ aː ɣ ə	ʋ eɪ n	W V K V N	W V K V	W V N	175
Weide	weide	withy	v ai d	ʋ ɛɪ d	ʋ ɪ ð	W V T	W V T	W V T	349
wachen	waken	wake	v a x ə	ʋ aː k ə	ʋ eɪ k	W V K V	W V K V	W V K	285
Wal	wal	whale	v aː l	ʋ ɑ l	ʋ eɪ l	W V R	W V R	W V R	113
wollen	willen	will	v ɔ l ə	ʋ ɪ l ə	ʋ ɪ l	W V R V	W V R V	W V R	456
Wald	woud	wold	v a l d	ʋ ɑu t	ʋ əʊ l d	W V R T	W V T	W V R T	193
Werft	werf	warp	v ɛ r f	ʋ ɛ r f	ʋ ɔː p	W V R P	W V R P	W V P	484
Warze	wrat	wart	v a r ts	ʋ r t	ʋ ɔː t	W V R K	W R T	W V T	321
waschen	wassen	wash	v a ʃ ə	ʋ ɑ s ə	ʋ ɔ ʃ	W V S V	W V S V	W V S	274
Wasser	water	water	v a s ə r	ʋ aː t ə r	ʋ ɔː t ə r	W V S V R	W V T V R	W V T V R	310
Wachs	was	wax	v a k s	ʋ ɑ s	ʋ æ k s	W V K S	W V S	W V K S	233
wachsen	wassen	wax	v a k s ə	ʋ ɑ s ə	ʋ æ k s	W V K S V	W V S V	W V K S	191
weben	weven	weave	v eː b ə	ʋ eː v ə	ʋ iː v	W V P V	W V W V	W V W	530
Wetter	weder	weather	v ɛ t ə r	ʋ eː d ə r	ʋ ɛ ð ə r	W V T V R	W V T V R	W V T V R	181
